 ,XM,YM,Slice
1,119.84205,151.97078,51
2,120.00210,183.03104,48
3,114.99865,212.98645,44
4,115.07760,245.03649,37
5,117.89116,229.00888,34
6,116.91941,241.02810,26
7,121.01465,244.97126,20
8,118.79591,182.11265,51
9,120.00210,183.03104,48
10,114.99865,212.98645,44
11,115.07760,245.03649,37
12,117.89116,229.00888,34
13,116.91941,241.02810,26
14,121.01465,244.97126,20
15,114.98041,204.01314,51
16,114.08488,227.01663,48
17,114.99865,212.98645,44
18,115.07760,245.03649,37
19,117.89116,229.00888,34
20,116.91941,241.02810,26
21,121.01465,244.97126,20
22,112.04080,229.02143,51
23,114.08488,227.01663,48
24,114.99865,212.98645,44
25,115.07760,245.03649,37
26,117.89116,229.00888,34
27,116.91941,241.02810,26
28,121.01465,244.97126,20
29,115.12916,256.00219,51
30,114.05875,275.01073,50
31,117.91195,250.97205,44
32,115.07760,245.03649,37
33,117.89116,229.00888,34
34,116.91941,241.02810,26
35,121.01465,244.97126,20
36,115.07006,284.95406,51
37,114.05875,275.01073,50
38,117.91195,250.97205,44
39,115.07760,245.03649,37
40,117.89116,229.00888,34
41,116.91941,241.02810,26
42,121.01465,244.97126,20
43,123.90149,306.96310,51
44,127.03036,308.93558,47
45,115.96583,285.99500,40
46,118.84648,291.04607,36
47,116.86804,267.98883,33
48,116.91941,241.02810,26
49,121.01465,244.97126,20
50,118.81927,317.13788,51
51,123.98863,320.96209,48
52,117.87839,320.00884,40
53,118.84648,291.04607,36
54,116.86804,267.98883,33
55,116.91941,241.02810,26
56,121.01465,244.97126,20
57,116.93318,335.06214,51
58,118.83616,345.02522,48
59,117.87839,320.00884,40
60,118.84648,291.04607,36
61,116.86804,267.98883,33
62,116.91941,241.02810,26
63,121.01465,244.97126,20
64,120.88750,362.07560,51
65,118.83616,345.02522,48
66,117.87839,320.00884,40
67,118.84648,291.04607,36
68,116.86804,267.98883,33
69,116.91941,241.02810,26
70,121.01465,244.97126,20
71,129.82087,370.94895,51
72,129.82534,360.93402,49
73,128.81740,338.92072,44
74,130.06398,301.99769,36
75,126.96069,279.94204,29
76,125.05978,264.01153,25
77,121.01465,244.97126,20
78,132.98533,386.01488,51
79,140.93112,378.02993,51
80,153.87020,371.92205,51
81,161.92542,362.94406,51
82,147.94713,364.93502,51
83,147.99478,344.99778,49
84,128.81740,338.92072,44
85,130.06398,301.99769,36
86,126.96069,279.94204,29
87,125.05978,264.01153,25
88,121.01465,244.97126,20
89,145.94937,357.04841,51
90,129.82534,360.93402,49
91,128.81740,338.92072,44
92,130.06398,301.99769,36
93,126.96069,279.94204,29
94,125.05978,264.01153,25
95,121.01465,244.97126,20
96,160.96441,347.99635,51
97,147.99478,344.99778,49
98,128.81740,338.92072,44
99,130.06398,301.99769,36
100,126.96069,279.94204,29
101,125.05978,264.01153,25
102,121.01465,244.97126,20
103,148.05617,344.08386,51
104,130.80887,302.92677,43
105,127.89376,264.99915,37
106,126.96069,279.94204,29
107,125.05978,264.01153,25
108,121.01465,244.97126,20
109,170.00267,338.99436,51
110,161.98007,324.99272,49
111,138.94624,302.98785,42
112,130.06398,301.99769,36
113,126.96069,279.94204,29
114,125.05978,264.01153,25
115,121.01465,244.97126,20
116,169.99990,315.01618,51
117,161.98007,324.99272,49
118,138.94624,302.98785,42
119,130.06398,301.99769,36
120,126.96069,279.94204,29
121,125.05978,264.01153,25
122,121.01465,244.97126,20
123,160.03454,315.03449,51
124,156.97815,295.98024,49
125,138.94624,302.98785,42
126,130.06398,301.99769,36
127,126.96069,279.94204,29
128,125.05978,264.01153,25
129,121.01465,244.97126,20
130,145.81191,324.99765,51
131,142.03884,306.96424,49
132,130.80887,302.92677,43
133,127.89376,264.99915,37
134,126.96069,279.94204,29
135,125.05978,264.01153,25
136,121.01465,244.97126,20
137,135.95899,332.99632,51
138,127.03036,308.93558,47
139,115.96583,285.99500,40
140,118.84648,291.04607,36
141,116.86804,267.98883,33
142,116.91941,241.02810,26
143,121.01465,244.97126,20
144,125.84208,338.98949,51
145,123.98863,320.96209,48
146,117.87839,320.00884,40
147,118.84648,291.04607,36
148,116.86804,267.98883,33
149,116.91941,241.02810,26
150,121.01465,244.97126,20
151,137.88744,311.00637,51
152,133.97128,297.99744,50
153,125.85449,277.08361,43
154,122.82765,255.98882,38
155,116.86804,267.98883,33
156,116.91941,241.02810,26
157,121.01465,244.97126,20
158,127.02337,295.02116,51
159,119.94513,278.03190,47
160,115.96583,285.99500,40
161,118.84648,291.04607,36
162,116.86804,267.98883,33
163,116.91941,241.02810,26
164,121.01465,244.97126,20
165,122.78653,268.03188,51
166,119.94513,278.03190,47
167,115.96583,285.99500,40
168,118.84648,291.04607,36
169,116.86804,267.98883,33
170,116.91941,241.02810,26
171,121.01465,244.97126,20
172,133.92984,290.06768,51
173,133.97128,297.99744,50
174,125.85449,277.08361,43
175,122.82765,255.98882,38
176,116.86804,267.98883,33
177,116.91941,241.02810,26
178,121.01465,244.97126,20
179,144.91840,300.00019,51
180,142.03884,306.96424,49
181,130.80887,302.92677,43
182,127.89376,264.99915,37
183,126.96069,279.94204,29
184,125.05978,264.01153,25
185,121.01465,244.97126,20
186,153.94447,297.99411,51
187,152.94592,279.93911,49
188,145.94036,272.01570,45
189,140.92695,260.02710,41
190,126.96015,243.02278,31
191,125.05978,264.01153,25
192,121.01465,244.97126,20
193,168.09076,296.96273,51
194,156.97815,295.98024,49
195,138.94624,302.98785,42
196,130.06398,301.99769,36
197,126.96069,279.94204,29
198,125.05978,264.01153,25
199,121.01465,244.97126,20
200,159.91978,272.99548,51
201,152.94592,279.93911,49
202,145.94036,272.01570,45
203,143.06823,258.00535,41
204,126.96015,243.02278,31
205,125.05978,264.01153,25
206,121.01465,244.97126,20
207,150.96637,276.02438,51
208,149.88888,266.91546,49
209,135.83123,259.96287,44
210,127.89376,264.99915,37
211,126.96069,279.94204,29
212,125.05978,264.01153,25
213,121.01465,244.97126,20
214,135.94497,274.02907,51
215,130.94114,263.01060,49
216,125.85449,277.08361,43
217,122.82765,255.98882,38
218,116.86804,267.98883,33
219,116.91941,241.02810,26
220,121.01465,244.97126,20
221,125.96318,250.00307,51
222,130.94114,263.01060,49
223,125.85449,277.08361,43
224,122.82765,255.98882,38
225,116.86804,267.98883,33
226,116.91941,241.02810,26
227,121.01465,244.97126,20
228,140.95559,263.98696,51
229,136.96875,254.97896,49
230,127.92976,233.00243,44
231,122.82765,255.98882,38
232,116.86804,267.98883,33
233,116.91941,241.02810,26
234,121.01465,244.97126,20
235,131.98303,242.95410,51
236,136.96875,254.97896,49
237,127.92976,233.00243,44
238,122.82765,255.98882,38
239,116.86804,267.98883,33
240,116.91941,241.02810,26
241,121.01465,244.97126,20
242,121.86102,224.97251,51
243,123.88107,220.00126,49
244,117.91195,250.97205,44
245,115.07760,245.03649,37
246,117.89116,229.00888,34
247,116.91941,241.02810,26
248,121.01465,244.97126,20
249,126.84331,201.93687,51
250,123.88107,220.00126,49
251,117.91195,250.97205,44
252,115.07760,245.03649,37
253,117.89116,229.00888,34
254,116.91941,241.02810,26
255,121.01465,244.97126,20
256,130.96967,180.04627,51
257,126.93645,189.01367,48
258,132.76904,184.78954,44
259,123.62949,205.93884,39
260,117.89116,229.00888,34
261,116.91941,241.02810,26
262,121.01465,244.97126,20
263,129.95525,153.01294,51
264,126.93645,189.01367,48
265,132.76904,184.78954,44
266,123.62949,205.93884,39
267,117.89116,229.00888,34
268,116.91941,241.02810,26
269,121.01465,244.97126,20
270,144.97625,151.97076,51
271,152.00937,163.00061,49
272,132.76904,184.78954,44
273,123.62949,205.93884,39
274,117.89116,229.00888,34
275,116.91941,241.02810,26
276,121.01465,244.97126,20
277,139.04287,174.95801,51
278,137.95662,185.98450,48
279,130.93720,214.01092,43
280,123.62949,205.93884,39
281,117.89116,229.00888,34
282,116.91941,241.02810,26
283,121.01465,244.97126,20
284,137.93954,198.99232,51
285,131.97455,219.98939,49
286,127.92976,233.00243,44
287,122.82765,255.98882,38
288,116.86804,267.98883,33
289,116.91941,241.02810,26
290,121.01465,244.97126,20
291,130.96287,221.99089,51
292,131.97455,219.98939,49
293,127.92976,233.00243,44
294,122.82765,255.98882,38
295,116.86804,267.98883,33
296,116.91941,241.02810,26
297,121.01465,244.97126,20
298,138.92238,227.97857,51
299,139.91818,220.99163,49
300,130.93720,214.01092,43
301,123.62949,205.93884,39
302,117.89116,229.00888,34
303,116.91941,241.02810,26
304,121.01465,244.97126,20
305,142.99847,210.05398,51
306,139.91818,220.99163,49
307,130.93720,214.01092,43
308,123.62949,205.93884,39
309,117.89116,229.00888,34
310,116.91941,241.02810,26
311,121.01465,244.97126,20
312,150.03147,214.95453,51
313,145.95690,210.00198,47
314,139.02600,206.00137,42
315,129.95038,225.99744,37
316,126.96015,243.02278,31
317,125.05978,264.01153,25
318,121.01465,244.97126,20
319,150.93585,186.06730,51
320,145.95690,210.00198,47
321,139.02600,206.00137,42
322,129.95038,225.99744,37
323,126.96015,243.02278,31
324,125.05978,264.01153,25
325,121.01465,244.97126,20
326,164.99449,150.76385,51
327,152.00937,163.00061,49
328,132.76904,184.78954,44
329,123.62949,205.93884,39
330,117.89116,229.00888,34
331,116.91941,241.02810,26
332,121.01465,244.97126,20
333,153.00005,162.99369,51
334,137.95662,185.98450,48
335,130.93720,214.01092,43
336,123.62949,205.93884,39
337,117.89116,229.00888,34
338,116.91941,241.02810,26
339,121.01465,244.97126,20
340,160.00031,183.01944,51
341,153.99607,184.00258,47
342,139.02600,206.00137,42
343,129.95038,225.99744,37
344,126.96015,243.02278,31
345,125.05978,264.01153,25
346,121.01465,244.97126,20
347,171.02961,169.01522,51
348,153.99607,184.00258,47
349,139.02600,206.00137,42
350,129.95038,225.99744,37
351,126.96015,243.02278,31
352,125.05978,264.01153,25
353,121.01465,244.97126,20
354,172.92541,184.95517,51
355,162.92114,200.88476,49
356,145.98712,226.01580,43
357,129.95038,225.99744,37
358,126.96015,243.02278,31
359,125.05978,264.01153,25
360,121.01465,244.97126,20
361,161.92215,208.90880,51
362,162.92114,200.88476,49
363,145.98712,226.01580,43
364,129.95038,225.99744,37
365,126.96015,243.02278,31
366,125.05978,264.01153,25
367,121.01465,244.97126,20
368,177.15517,204.05496,51
369,161.04428,231.01395,45
370,143.06823,258.00535,41
371,126.96015,243.02278,31
372,125.05978,264.01153,25
373,121.01465,244.97126,20
374,178.99499,248.98595,51
375,161.04428,231.01395,45
376,143.06823,258.00535,41
377,126.96015,243.02278,31
378,125.05978,264.01153,25
379,121.01465,244.97126,20
380,158.93772,226.96841,51
381,149.85906,234.88429,50
382,145.98712,226.01580,43
383,129.95038,225.99744,37
384,126.96015,243.02278,31
385,125.05978,264.01153,25
386,121.01465,244.97126,20
387,143.88562,240.92394,51
388,149.85906,234.88429,50
389,145.98712,226.01580,43
390,129.95038,225.99744,37
391,126.96015,243.02278,31
392,125.05978,264.01153,25
393,121.01465,244.97126,20
394,164.02934,235.07256,51
395,152.98815,244.98367,49
396,135.83123,259.96287,44
397,127.89376,264.99915,37
398,126.96069,279.94204,29
399,125.05978,264.01153,25
400,121.01465,244.97126,20
401,148.90152,250.93733,51
402,152.98815,244.98367,49
403,135.83123,259.96287,44
404,127.89376,264.99915,37
405,126.96069,279.94204,29
406,125.05978,264.01153,25
407,121.01465,244.97126,20
408,158.99876,255.03369,51
409,149.88888,266.91546,49
410,135.83123,259.96287,44
411,127.89376,264.99915,37
412,126.96069,279.94204,29
413,125.05978,264.01153,25
414,121.01465,244.97126,20
415,170.00604,248.02784,51
416,167.91040,258.99546,50
417,145.94036,272.01570,45
418,143.06823,258.00535,41
419,126.96015,243.02278,31
420,125.05978,264.01153,25
421,121.01465,244.97126,20
422,172.03726,272.00212,51
423,167.91040,258.99546,50
424,145.94036,272.01570,45
425,143.06823,258.00535,41
426,126.96015,243.02278,31
427,125.05978,264.01153,25
428,121.01465,244.97126,20
429,159.97296,200.93742,51
