 ,XM,YM,Slice
1,166.99123,139.95314,51
2,194.99723,138.98546,47
3,238.01118,136.99948,41
4,253.04870,137.84385,35
5,242.99249,135.84801,29
6,234.95586,133.65050,23
7,183.00337,148.93906,51
8,194.99723,138.98546,47
9,238.01118,136.99948,41
10,253.04870,137.84385,35
11,242.99249,135.84801,29
12,234.95586,133.65050,23
13,202.00453,139.04234,51
14,233.98180,134.93472,47
15,238.01118,136.99948,41
16,253.04870,137.84385,35
17,242.99249,135.84801,29
18,234.95586,133.65050,23
19,239.03241,134.97146,51
20,233.98180,134.93472,47
21,238.01118,136.99948,41
22,253.04870,137.84385,35
23,242.99249,135.84801,29
24,234.95586,133.65050,23
25,269.99914,137.97955,51
26,276.96050,140.05741,48
27,285.01408,139.91059,43
28,253.04870,137.84385,35
29,242.99249,135.84801,29
30,234.95586,133.65050,23
31,297.97744,137.90457,51
32,276.96050,140.05741,48
33,285.01408,139.91059,43
34,253.04870,137.84385,35
35,242.99249,135.84801,29
36,234.95586,133.65050,23
37,315.95097,141.85474,51
38,318.99492,138.79929,48
39,285.01408,139.91059,43
40,253.04870,137.84385,35
41,242.99249,135.84801,29
42,234.95586,133.65050,23
43,336.99335,139.80885,51
44,318.99492,138.79929,48
45,285.01408,139.91059,43
46,253.04870,137.84385,35
47,242.99249,135.84801,29
48,234.95586,133.65050,23
49,330.03241,151.98452,51
50,305.01052,148.87219,47
51,272.94677,148.82833,41
52,252.85085,148.61089,35
53,232.01913,145.84484,29
54,234.95586,133.65050,23
55,307.01734,160.92935,51
56,305.01052,148.87219,47
57,272.94677,148.82833,41
58,252.85085,148.61089,35
59,232.01913,145.84484,29
60,234.95586,133.65050,23
61,292.95645,149.81722,51
62,276.01691,146.79279,49
63,249.00307,146.88830,43
64,232.03437,141.81350,37
65,242.99249,135.84801,29
66,234.95586,133.65050,23
67,266.98713,149.02153,51
68,276.01691,146.79279,49
69,249.00307,146.88830,43
70,232.03437,141.81350,37
71,242.99249,135.84801,29
72,234.95586,133.65050,23
73,275.00705,158.90132,51
74,255.96618,160.96680,49
75,235.91544,163.90422,44
76,252.85085,148.61089,35
77,232.01913,145.84484,29
78,234.95586,133.65050,23
79,278.93525,167.83053,51
80,264.95574,161.94185,47
81,272.94677,148.82833,41
82,252.85085,148.61089,35
83,232.01913,145.84484,29
84,234.95586,133.65050,23
85,237.95691,146.86024,51
86,230.00208,145.80294,50
87,249.00307,146.88830,43
88,232.03437,141.81350,37
89,242.99249,135.84801,29
90,234.95586,133.65050,23
91,211.99635,145.76308,51
92,230.00208,145.80294,50
93,249.00307,146.88830,43
94,232.03437,141.81350,37
95,242.99249,135.84801,29
96,234.95586,133.65050,23
97,248.99685,154.91566,51
98,233.88678,157.73685,47
99,219.05332,152.69796,40
100,216.08071,143.69509,35
101,232.01913,145.84484,29
102,234.95586,133.65050,23
103,221.00801,155.90860,51
104,210.98147,155.97960,50
105,209.00950,142.86579,43
106,232.03437,141.81350,37
107,242.99249,135.84801,29
108,234.95586,133.65050,23
109,198.02232,155.83952,51
110,210.98147,155.97960,50
111,209.00950,142.86579,43
112,232.03437,141.81350,37
113,242.99249,135.84801,29
114,234.95586,133.65050,23
115,154.05268,148.82335,51
116,171.07061,149.71532,50
117,209.00950,142.86579,43
118,232.03437,141.81350,37
119,242.99249,135.84801,29
120,234.95586,133.65050,23
121,174.99833,159.93624,51
122,171.07061,149.71532,50
123,209.00950,142.86579,43
124,232.03437,141.81350,37
125,242.99249,135.84801,29
126,234.95586,133.65050,23
127,141.96690,153.93152,51
128,159.03861,153.88526,49
129,195.07897,144.82936,42
130,216.08071,143.69509,35
131,232.01913,145.84484,29
132,234.95586,133.65050,23
133,165.00955,165.99298,51
134,159.03861,153.88526,49
135,195.07897,144.82936,42
136,216.08071,143.69509,35
137,232.01913,145.84484,29
138,234.95586,133.65050,23
139,164.96133,177.03608,51
140,195.02122,166.85365,47
141,219.05332,152.69796,40
142,216.08071,143.69509,35
143,232.01913,145.84484,29
144,234.95586,133.65050,23
145,188.95855,167.76939,51
146,204.05668,158.85843,48
147,195.07897,144.82936,42
148,216.08071,143.69509,35
149,232.01913,145.84484,29
150,234.95586,133.65050,23
151,214.99623,163.92173,51
152,204.05668,158.85843,48
153,195.07897,144.82936,42
154,216.08071,143.69509,35
155,232.01913,145.84484,29
156,234.95586,133.65050,23
157,197.94645,175.83770,51
158,195.02122,166.85365,47
159,219.05332,152.69796,40
160,216.08071,143.69509,35
161,232.01913,145.84484,29
162,234.95586,133.65050,23
163,228.95604,167.85964,51
164,233.88678,157.73685,47
165,219.05332,152.69796,40
166,216.08071,143.69509,35
167,232.01913,145.84484,29
168,234.95586,133.65050,23
169,189.98885,188.95962,51
170,214.00152,180.02259,48
171,235.91544,163.90422,44
172,252.85085,148.61089,35
173,232.01913,145.84484,29
174,234.95586,133.65050,23
175,221.01003,182.90830,51
176,214.00152,180.02259,48
177,235.91544,163.90422,44
178,252.85085,148.61089,35
179,232.01913,145.84484,29
180,234.95586,133.65050,23
181,242.92845,168.88519,51
182,255.96618,160.96680,49
183,235.91544,163.90422,44
184,252.85085,148.61089,35
185,232.01913,145.84484,29
186,234.95586,133.65050,23
187,252.99906,175.00132,51
188,264.95574,161.94185,47
189,272.94677,148.82833,41
190,252.85085,148.61089,35
191,232.01913,145.84484,29
192,234.95586,133.65050,23
