 ,XM,YM,Slice
1,119.80722,150.93704,51
2,117.80614,182.96817,48
3,116.04914,215.01282,43
4,113.97067,244.01269,37
5,118.90050,226.00206,34
6,117.98497,238.05117,26
7,117.91281,239.03450,20
8,118.90017,180.00642,51
9,117.80614,182.96817,48
10,116.04914,215.01282,43
11,113.97067,244.01269,37
12,118.90050,226.00206,34
13,117.98497,238.05117,26
14,117.91281,239.03450,20
15,128.88632,152.98174,51
16,126.89653,187.01644,48
17,133.81000,184.83083,44
18,125.83481,204.99153,39
19,118.90050,226.00206,34
20,117.98497,238.05117,26
21,117.91281,239.03450,20
22,130.01372,176.93400,51
23,126.89653,187.01644,48
24,133.81000,184.83083,44
25,125.83481,204.99153,39
26,118.90050,226.00206,34
27,117.98497,238.05117,26
28,117.91281,239.03450,20
29,143.92042,151.92041,51
30,151.94062,160.85369,49
31,133.81000,184.83083,44
32,125.83481,204.99153,39
33,118.90050,226.00206,34
34,117.98497,238.05117,26
35,117.91281,239.03450,20
36,138.04277,172.94711,51
37,137.77904,182.82858,48
38,131.81247,210.02803,44
39,125.83481,204.99153,39
40,118.90050,226.00206,34
41,117.98497,238.05117,26
42,117.91281,239.03450,20
43,164.00315,152.92863,51
44,151.94062,160.85369,49
45,133.81000,184.83083,44
46,125.83481,204.99153,39
47,118.90050,226.00206,34
48,117.98497,238.05117,26
49,117.91281,239.03450,20
50,151.95473,161.86946,51
51,137.77904,182.82858,48
52,131.81247,210.02803,44
53,125.83481,204.99153,39
54,118.90050,226.00206,34
55,117.98497,238.05117,26
56,117.91281,239.03450,20
57,151.01725,181.96916,51
58,144.88979,206.97203,47
59,138.97012,203.98411,42
60,131.03451,225.00743,37
61,127.04785,245.00213,30
62,125.05978,264.01153,25
63,117.91281,239.03450,20
64,158.97623,179.96093,51
65,153.96584,182.99537,47
66,138.97012,203.98411,42
67,131.03451,225.00743,37
68,127.04785,245.00213,30
69,125.05978,264.01153,25
70,117.91281,239.03450,20
71,170.98145,167.99483,51
72,153.96584,182.99537,47
73,138.97012,203.98411,42
74,131.03451,225.00743,37
75,127.04785,245.00213,30
76,125.05978,264.01153,25
77,117.91281,239.03450,20
78,172.91312,183.93239,51
79,164.00057,201.97175,49
80,145.95268,224.99240,43
81,131.03451,225.00743,37
82,127.04785,245.00213,30
83,125.05978,264.01153,25
84,117.91281,239.03450,20
