 ,XM,YM,Slice
1,399.98541,405.90629,51
2,377.97503,409.99370,44
3,375.02269,424.98943,35
4,367.03529,438.10911,27
5,361.99225,411.01048,51
6,377.97503,409.99370,44
7,375.02269,424.98943,35
8,367.03529,438.10911,27
9,357.92857,421.04292,51
10,378.05053,430.94681,42
11,375.02269,424.98943,35
12,367.03529,438.10911,27
13,384.01135,436.98332,51
14,392.98845,440.99517,50
15,378.05053,430.94681,42
16,375.02269,424.98943,35
17,367.03529,438.10911,27
18,403.01761,442.94315,51
19,392.98845,440.99517,50
20,378.05053,430.94681,42
21,375.02269,424.98943,35
22,367.03529,438.10911,27
23,350.05073,426.93462,51
24,337.00031,441.04981,45
25,350.96454,444.05451,33
26,367.03529,438.10911,27
27,323.95004,441.97992,51
28,337.00031,441.04981,45
29,350.96454,444.05451,33
30,367.03529,438.10911,27
31,358.99045,440.93679,51
32,347.00758,445.06275,48
33,362.01018,444.26451,42
34,350.96454,444.05451,33
35,367.03529,438.10911,27
36,333.97478,448.09197,51
37,347.00758,445.06275,48
38,362.01018,444.26451,42
39,350.96454,444.05451,33
40,367.03529,438.10911,27
41,360.99745,451.15383,51
42,373.97887,449.03710,47
43,362.01018,444.26451,42
44,350.96454,444.05451,33
45,367.03529,438.10911,27
46,389.01018,451.15031,51
47,373.97887,449.03710,47
48,362.01018,444.26451,42
49,350.96454,444.05451,33
50,367.03529,438.10911,27
