 ,XM,YM,Slice
1,564.99465,272.01141,51
2,552.03099,274.02134,44
3,574.98134,283.06137,38
4,576.17067,312.96457,31
5,578.18258,329.05104,23
6,530.98173,267.88516,51
7,552.03099,274.02134,44
8,574.98134,283.06137,38
9,576.17067,312.96457,31
10,578.18258,329.05104,23
11,559.02211,279.96925,51
12,576.29214,293.93487,44
13,574.98134,283.06137,38
14,576.17067,312.96457,31
15,578.18258,329.05104,23
16,531.97183,284.00578,51
17,561.98382,299.00951,46
18,581.00370,316.01531,39
19,576.17067,312.96457,31
20,578.18258,329.05104,23
21,571.06199,295.00004,51
22,576.29214,293.93487,44
23,574.98134,283.06137,38
24,576.17067,312.96457,31
25,578.18258,329.05104,23
26,577.01575,323.98154,51
27,575.07034,335.99669,45
28,581.00370,316.01531,39
29,576.17067,312.96457,31
30,578.18258,329.05104,23
31,560.89054,311.05990,51
32,561.98382,299.00951,46
33,581.00370,316.01531,39
34,576.17067,312.96457,31
35,578.18258,329.05104,23
36,531.04708,293.86974,51
37,540.97408,332.06928,43
38,545.95655,359.06067,36
39,562.08429,351.06403,30
40,578.18258,329.05104,23
41,528.02066,304.96998,51
42,540.97408,332.06928,43
43,545.95655,359.06067,36
44,562.08429,351.06403,30
45,578.18258,329.05104,23
46,548.02258,327.00280,51
47,557.96432,346.98549,46
48,562.98721,345.06091,39
49,562.08429,351.06403,30
50,578.18258,329.05104,23
51,512.90839,310.13782,51
52,535.06155,342.94540,45
53,562.98721,345.06091,39
54,562.08429,351.06403,30
55,578.18258,329.05104,23
56,539.05634,342.00250,51
57,535.06155,342.94540,45
58,562.98721,345.06091,39
59,562.08429,351.06403,30
60,578.18258,329.05104,23
61,556.91098,344.00719,51
62,575.07034,335.99669,45
63,581.00370,316.01531,39
64,576.17067,312.96457,31
65,578.18258,329.05104,23
66,546.01930,361.01583,51
67,557.96432,346.98549,46
68,562.98721,345.06091,39
69,562.08429,351.06403,30
70,578.18258,329.05104,23
71,519.97814,327.03253,51
72,529.02302,345.96620,48
73,517.06383,342.92180,41
74,503.00085,356.00067,34
75,520.99096,359.99177,26
76,580.07256,354.95716,1
77,507.01653,334.99340,51
78,495.00340,340.03554,48
79,517.06383,342.92180,41
80,503.00085,356.00067,34
81,520.99096,359.99177,26
82,580.07256,354.95716,1
83,478.98886,341.02201,51
84,495.00340,340.03554,48
85,517.06383,342.92180,41
86,503.00085,356.00067,34
87,520.99096,359.99177,26
88,580.07256,354.95716,1
89,498.93468,350.93219,51
90,493.01650,362.97913,49
91,488.96098,366.95223,42
92,503.00085,356.00067,34
93,520.99096,359.99177,26
94,580.07256,354.95716,1
95,483.01597,371.97192,51
96,493.01650,362.97913,49
97,488.96098,366.95223,42
98,503.00085,356.00067,34
99,520.99096,359.99177,26
100,580.07256,354.95716,1
101,507.98141,354.97272,51
102,504.94091,363.94791,46
103,528.96758,361.08959,38
104,535.98281,370.02975,32
105,520.99096,359.99177,26
106,580.07256,354.95716,1
107,485.04664,383.02048,51
108,474.97054,388.94389,49
109,488.96098,366.95223,42
110,503.00085,356.00067,34
111,520.99096,359.99177,26
112,580.07256,354.95716,1
113,462.98889,400.97129,51
114,474.97054,388.94389,49
115,488.96098,366.95223,42
116,503.00085,356.00067,34
117,520.99096,359.99177,26
118,580.07256,354.95716,1
119,498.05334,385.03691,51
120,504.94091,363.94791,46
121,528.96758,361.08959,38
122,535.98281,370.02975,32
123,520.99096,359.99177,26
124,580.07256,354.95716,1
125,507.96752,411.00476,51
126,528.95635,385.97977,45
127,528.96758,361.08959,38
128,535.98281,370.02975,32
129,520.99096,359.99177,26
130,580.07256,354.95716,1
131,513.92848,379.99954,51
132,528.95635,385.97977,45
133,528.96758,361.08959,38
134,535.98281,370.02975,32
135,520.99096,359.99177,26
136,580.07256,354.95716,1
137,523.00229,366.99971,51
138,539.01624,364.89746,44
139,545.95655,359.06067,36
140,562.08429,351.06403,30
141,578.18258,329.05104,23
142,529.03735,343.99687,51
143,529.02302,345.96620,48
144,517.06383,342.92180,41
145,503.00085,356.00067,34
146,520.99096,359.99177,26
147,580.07256,354.95716,1
148,534.01444,379.05127,51
149,539.01624,364.89746,44
150,545.95655,359.06067,36
151,562.08429,351.06403,30
152,578.18258,329.05104,23
153,522.96591,400.98395,51
154,539.97143,391.00688,45
155,559.04781,386.00616,39
156,535.98281,370.02975,32
157,520.99096,359.99177,26
158,580.07256,354.95716,1
159,526.04439,416.00484,51
160,539.97143,391.00688,45
161,559.04781,386.00616,39
162,535.98281,370.02975,32
163,520.99096,359.99177,26
164,580.07256,354.95716,1
165,529.95671,441.04195,51
166,537.91633,435.96450,47
167,559.04781,386.00616,39
168,535.98281,370.02975,32
169,520.99096,359.99177,26
170,580.07256,354.95716,1
171,536.94793,411.97253,51
172,558.05322,385.99301,45
173,578.04536,355.96542,38
174,576.02890,359.96085,31
175,578.15326,373.02646,23
176,580.07256,354.95716,1
177,576.12385,343.00114,51
178,573.11842,357.07149,44
179,578.04536,355.96542,38
180,576.02890,359.96085,31
181,578.15326,373.02646,23
182,580.07256,354.95716,1
183,554.00317,373.99911,51
184,573.11842,357.07149,44
185,578.04536,355.96542,38
186,576.02890,359.96085,31
187,578.15326,373.02646,23
188,580.07256,354.95716,1
189,575.17738,358.05241,51
190,573.09140,371.97997,48
191,574.09190,377.01562,41
192,576.02890,359.96085,31
193,578.15326,373.02646,23
194,580.07256,354.95716,1
195,554.99701,383.98858,51
196,558.05322,385.99301,45
197,578.04536,355.96542,38
198,576.02890,359.96085,31
199,578.15326,373.02646,23
200,580.07256,354.95716,1
201,580.07897,376.98438,51
202,579.15814,388.98752,46
203,575.10327,396.03647,42
204,572.25477,403.01840,33
205,578.15326,373.02646,23
206,580.07256,354.95716,1
207,571.10329,384.98589,51
208,573.09140,371.97997,48
209,574.09190,377.01562,41
210,576.02890,359.96085,31
211,578.15326,373.02646,23
212,580.07256,354.95716,1
213,554.97462,399.00361,51
214,554.99016,405.02139,48
215,574.09190,377.01562,41
216,576.02890,359.96085,31
217,578.15326,373.02646,23
218,580.07256,354.95716,1
219,542.01061,423.01141,51
220,554.99016,405.02139,48
221,574.09190,377.01562,41
222,576.02890,359.96085,31
223,578.15326,373.02646,23
224,580.07256,354.95716,1
225,550.95530,423.98650,51
226,552.96412,434.97647,47
227,575.10327,396.03647,42
228,572.25477,403.01840,33
229,578.15326,373.02646,23
230,580.07256,354.95716,1
231,518.93059,460.95545,51
232,537.91633,435.96450,47
233,559.04781,386.00616,39
234,535.98281,370.02975,32
235,520.99096,359.99177,26
236,580.07256,354.95716,1
237,570.00012,408.98313,51
238,579.15814,388.98752,46
239,575.10327,396.03647,42
240,572.25477,403.01840,33
241,578.15326,373.02646,23
242,580.07256,354.95716,1
243,579.11543,416.03360,51
244,571.97920,421.95833,47
245,575.09961,418.06115,40
246,572.25477,403.01840,33
247,578.15326,373.02646,23
248,580.07256,354.95716,1
249,558.88175,433.86847,51
250,571.97920,421.95833,47
251,575.09961,418.06115,40
252,572.25477,403.01840,33
253,578.15326,373.02646,23
254,580.07256,354.95716,1
255,537.06270,461.07884,51
256,552.96412,434.97647,47
257,575.10327,396.03647,42
258,572.25477,403.01840,33
259,578.15326,373.02646,23
260,580.07256,354.95716,1
261,567.14022,441.10973,51
262,561.09968,445.07849,47
263,575.09961,418.06115,40
264,572.25477,403.01840,33
265,578.15326,373.02646,23
266,580.07256,354.95716,1
267,553.07285,458.10164,51
268,561.09968,445.07849,47
269,575.09961,418.06115,40
270,572.25477,403.01840,33
271,578.15326,373.02646,23
272,580.07256,354.95716,1
