 ,XM,YM,Slice
1,205.92847,382.92315,51
2,217.03913,394.97959,50
3,243.95964,424.03409,42
4,240.90707,443.02500,35
5,238.96953,441.03912,28
6,222.00503,398.01347,51
7,217.03913,394.97959,50
8,243.95964,424.03409,42
9,240.90707,443.02500,35
10,238.96953,441.03912,28
11,243.99690,396.04074,51
12,253.02516,411.94316,44
13,256.00675,419.04481,38
14,238.96953,441.03912,28
15,282.97163,399.96819,51
16,275.98553,412.97908,49
17,253.02516,411.94316,44
18,256.00675,419.04481,38
19,238.96953,441.03912,28
20,261.90859,416.88443,51
21,275.98553,412.97908,49
22,253.02516,411.94316,44
23,256.00675,419.04481,38
24,238.96953,441.03912,28
25,275.01117,420.99347,51
26,268.99115,424.01400,49
27,273.02574,427.02600,45
28,256.00675,419.04481,38
29,238.96953,441.03912,28
30,257.97474,438.99305,51
31,268.99115,424.01400,49
32,273.02574,427.02600,45
33,256.00675,419.04481,38
34,238.96953,441.03912,28
35,273.99882,434.00353,51
36,263.92157,448.92070,49
37,248.99338,452.98691,43
38,240.90707,443.02500,35
39,238.96953,441.03912,28
40,256.90137,454.92469,51
41,263.92157,448.92070,49
42,248.99338,452.98691,43
43,240.90707,443.02500,35
44,238.96953,441.03912,28
45,289.94267,426.96489,51
46,273.02574,427.02600,45
47,256.00675,419.04481,38
48,238.96953,441.03912,28
49,240.91580,437.03288,51
50,243.95964,424.03409,42
51,240.90707,443.02500,35
52,238.96953,441.03912,28
53,220.00804,454.96464,51
54,209.02100,453.98362,50
55,248.99338,452.98691,43
56,240.90707,443.02500,35
57,238.96953,441.03912,28
58,192.99066,453.00876,51
59,209.02100,453.98362,50
60,248.99338,452.98691,43
61,240.90707,443.02500,35
62,238.96953,441.03912,28
