 ,XM,YM,Slice
1,143.01989,115.92708,51
2,160.01579,121.92791,49
3,131.01504,130.10128,39
4,98.97435,138.98799,33
5,101.03194,141.90867,24
6,171.03121,123.15772,51
7,160.01579,121.92791,49
8,131.01504,130.10128,39
9,98.97435,138.98799,33
10,101.03194,141.90867,24
11,157.98762,138.03606,51
12,136.93171,131.01412,48
13,131.01504,130.10128,39
14,98.97435,138.98799,33
15,101.03194,141.90867,24
16,131.96871,125.06953,51
17,136.93171,131.01412,48
18,131.01504,130.10128,39
19,98.97435,138.98799,33
20,101.03194,141.90867,24
21,180.03396,141.99956,51
22,169.03740,154.96435,47
23,128.97231,141.03925,39
24,95.02782,153.99336,33
25,78.89396,167.99517,25
26,74.82217,180.97179,15
27,187.98045,161.96193,51
28,169.03740,154.96435,47
29,128.97231,141.03925,39
30,95.02782,153.99336,33
31,78.89396,167.99517,25
32,74.82217,180.97179,15
33,131.05251,134.95231,51
34,138.98100,144.03453,47
35,128.97231,141.03925,39
36,95.02782,153.99336,33
37,78.89396,167.99517,25
38,74.82217,180.97179,15
39,159.05523,150.89837,51
40,138.98100,144.03453,47
41,128.97231,141.03925,39
42,95.02782,153.99336,33
43,78.89396,167.99517,25
44,74.82217,180.97179,15
45,112.97964,130.99951,51
46,102.98351,141.00689,48
47,95.86431,140.88114,40
48,98.97435,138.98799,33
49,101.03194,141.90867,24
50,76.80769,154.92785,51
51,80.84532,150.98576,45
52,95.86431,140.88114,40
53,98.97435,138.98799,33
54,101.03194,141.90867,24
55,94.96114,131.01323,51
56,80.84532,150.98576,45
57,95.86431,140.88114,40
58,98.97435,138.98799,33
59,101.03194,141.90867,24
60,96.01060,148.01209,51
61,102.98351,141.00689,48
62,95.86431,140.88114,40
63,98.97435,138.98799,33
64,101.03194,141.90867,24
65,104.94294,153.89787,51
66,94.00220,157.03396,44
67,95.02782,153.99336,33
68,78.89396,167.99517,25
69,74.82217,180.97179,15
70,126.97418,146.00407,51
71,135.01018,151.00355,49
72,94.00220,157.03396,44
