 ,XM,YM,Slice
1,349.04241,118.83246,51
2,381.99516,108.85514,43
3,408.98544,106.87053,36
4,425.99684,107.82551,31
5,408.03284,107.88119,22
6,365.97310,112.87229,51
7,378.01563,111.78750,49
8,381.99516,108.85514,43
9,408.98544,106.87053,36
10,425.99684,107.82551,31
11,408.03284,107.88119,22
12,386.02731,115.71915,51
13,378.01563,111.78750,49
14,381.99516,108.85514,43
15,408.98544,106.87053,36
16,425.99684,107.82551,31
17,408.03284,107.88119,22
18,365.98072,128.89596,51
19,360.98134,132.94771,46
20,364.94320,134.97106,39
21,380.01052,121.03814,31
22,408.03284,107.88119,22
23,332.02812,149.01330,51
24,360.98134,132.94771,46
25,364.94320,134.97106,39
26,380.01052,121.03814,31
27,408.03284,107.88119,22
28,343.94240,166.02311,51
29,351.95227,166.99881,45
30,364.94320,134.97106,39
31,380.01052,121.03814,31
32,408.03284,107.88119,22
33,342.98234,181.97727,51
34,351.95227,166.99881,45
35,364.94320,134.97106,39
36,380.01052,121.03814,31
37,408.03284,107.88119,22
38,360.94844,141.88832,51
39,380.99027,130.95836,48
40,377.96538,126.94256,42
41,401.99858,116.00195,37
42,380.01052,121.03814,31
43,408.03284,107.88119,22
44,389.00107,129.93384,51
45,380.99027,130.95836,48
46,377.96538,126.94256,42
47,401.99858,116.00195,37
48,380.01052,121.03814,31
49,408.03284,107.88119,22
50,371.01107,148.99763,51
51,382.97398,140.95865,49
52,408.98309,130.00908,42
53,418.03000,124.04689,36
54,406.01039,126.02811,27
55,432.02345,108.94797,19
56,391.00085,139.04876,51
57,382.97398,140.95865,49
58,408.98309,130.00908,42
59,418.03000,124.04689,36
60,406.01039,126.02811,27
61,432.02345,108.94797,19
62,355.00394,164.97200,51
63,360.00629,167.00930,49
64,377.96538,126.94256,42
65,401.99858,116.00195,37
66,380.01052,121.03814,31
67,408.03284,107.88119,22
68,360.99349,186.98312,51
69,360.00629,167.00930,49
70,377.96538,126.94256,42
71,401.99858,116.00195,37
72,380.01052,121.03814,31
73,408.03284,107.88119,22
74,381.07528,166.02460,51
75,393.98355,144.98534,44
76,402.04158,142.93567,37
77,406.01039,126.02811,27
78,432.02345,108.94797,19
