 ,XM,YM,Slice
1,444.01087,129.96616,51
2,505.02509,156.97578,44
3,537.98743,124.93420,37
4,564.99243,138.99588,30
5,564.95683,144.96479,20
6,445.91904,152.03735,51
7,505.02509,156.97578,44
8,537.98743,124.93420,37
9,564.99243,138.99588,30
10,564.95683,144.96479,20
11,484.03066,157.06456,51
12,534.00452,143.00904,44
13,556.86479,149.04526,36
14,555.89057,166.01394,27
15,564.95683,144.96479,20
16,535.02681,141.97072,51
17,534.00452,143.00904,44
18,556.86479,149.04526,36
19,555.89057,166.01394,27
20,564.95683,144.96479,20
21,511.00772,122.98325,51
22,537.02946,118.92345,44
23,537.98743,124.93420,37
24,564.99243,138.99588,30
25,564.95683,144.96479,20
26,541.02315,117.82708,51
27,537.02946,118.92345,44
28,537.98743,124.93420,37
29,564.99243,138.99588,30
30,564.95683,144.96479,20
31,563.17226,132.78485,51
32,567.93659,142.04491,46
33,563.02673,130.87690,41
34,570.01704,149.98703,35
35,564.99243,138.99588,30
36,564.95683,144.96479,20
37,572.07305,150.95459,51
38,567.93659,142.04491,46
39,563.02673,130.87690,41
40,570.01704,149.98703,35
41,564.99243,138.99588,30
42,564.95683,144.96479,20
43,539.98810,148.93069,51
44,564.04888,156.90749,48
45,578.12762,163.94672,40
46,570.01704,149.98703,35
47,564.99243,138.99588,30
48,564.95683,144.96479,20
49,573.00907,160.97335,51
50,564.04888,156.90749,48
51,578.12762,163.94672,40
52,570.01704,149.98703,35
53,564.99243,138.99588,30
54,564.95683,144.96479,20
55,553.05607,162.86112,51
56,547.00254,158.99538,48
57,562.96467,163.03591,41
58,556.86479,149.04526,36
59,555.89057,166.01394,27
60,564.95683,144.96479,20
61,576.00557,178.98890,51
62,583.08929,191.97855,48
63,578.12762,163.94672,40
64,570.01704,149.98703,35
65,564.99243,138.99588,30
66,564.95683,144.96479,20
67,587.07795,209.96699,51
68,583.08929,191.97855,48
69,578.12762,163.94672,40
70,570.01704,149.98703,35
71,564.99243,138.99588,30
72,564.95683,144.96479,20
73,561.99943,180.02255,51
74,570.02077,188.96885,49
75,562.96467,163.03591,41
76,556.86479,149.04526,36
77,555.89057,166.01394,27
78,564.95683,144.96479,20
79,576.05479,199.98896,51
80,570.02077,188.96885,49
81,562.96467,163.03591,41
82,556.86479,149.04526,36
83,555.89057,166.01394,27
84,564.95683,144.96479,20
85,558.02845,191.98283,51
86,551.03206,178.98861,44
87,564.95118,186.03348,36
88,555.89057,166.01394,27
89,564.95683,144.96479,20
90,525.01052,160.97722,51
91,547.00254,158.99538,48
92,562.96467,163.03591,41
93,556.86479,149.04526,36
94,555.89057,166.01394,27
95,564.95683,144.96479,20
96,535.99874,182.99978,51
97,528.95853,169.04002,49
98,551.03206,178.98861,44
99,564.95118,186.03348,36
100,555.89057,166.01394,27
101,564.95683,144.96479,20
102,515.01104,165.98783,51
103,528.95853,169.04002,49
104,551.03206,178.98861,44
105,564.95118,186.03348,36
106,555.89057,166.01394,27
107,564.95683,144.96479,20
108,558.06273,209.92637,51
109,577.05673,213.92516,44
110,564.95118,186.03348,36
111,555.89057,166.01394,27
112,564.95683,144.96479,20
113,536.01506,130.86912,51
114,528.96827,129.94583,49
115,563.02673,130.87690,41
116,570.01704,149.98703,35
117,564.99243,138.99588,30
118,564.95683,144.96479,20
119,504.98598,137.97432,51
120,528.96827,129.94583,49
121,563.02673,130.87690,41
122,570.01704,149.98703,35
123,564.99243,138.99588,30
124,564.95683,144.96479,20
125,562.95873,226.06589,51
126,576.00870,230.00837,49
127,577.05673,213.92516,44
128,564.95118,186.03348,36
129,555.89057,166.01394,27
130,564.95683,144.96479,20
131,582.11095,240.97973,51
132,576.00870,230.00837,49
133,577.05673,213.92516,44
134,564.95118,186.03348,36
135,555.89057,166.01394,27
136,564.95683,144.96479,20
