 ,XM,YM,Slice
1,105.93630,210.96937,51
2,100.85107,225.01045,48
3,104.73547,245.03723,40
4,93.70502,265.99061,31
5,97.83583,280.99323,25
6,97.84930,288.02352,14
7,99.87906,233.97499,51
8,100.85107,225.01045,48
9,104.73547,245.03723,40
10,93.70502,265.99061,31
11,97.83583,280.99323,25
12,97.84930,288.02352,14
13,108.95577,253.99794,51
14,115.98064,262.99577,49
15,104.73547,245.03723,40
16,93.70502,265.99061,31
17,97.83583,280.99323,25
18,97.84930,288.02352,14
19,127.99562,270.95809,51
20,115.98064,262.99577,49
21,104.73547,245.03723,40
22,93.70502,265.99061,31
23,97.83583,280.99323,25
24,97.84930,288.02352,14
25,129.97620,261.02182,51
26,133.94733,273.99646,48
27,121.89657,279.97345,40
28,107.99027,304.98770,33
29,97.83583,280.99323,25
30,97.84930,288.02352,14
31,100.91170,261.03552,51
32,104.88789,268.06735,48
33,106.00864,265.98456,39
34,93.70502,265.99061,31
35,97.83583,280.99323,25
36,97.84930,288.02352,14
37,96.84948,268.02246,51
38,98.82667,277.05712,46
39,99.81644,285.99764,40
40,96.87976,303.98305,32
41,102.03903,313.95953,26
42,97.84930,288.02352,14
43,116.99772,275.93540,51
44,104.88789,268.06735,48
45,106.00864,265.98456,39
46,93.70502,265.99061,31
47,97.83583,280.99323,25
48,97.84930,288.02352,14
49,108.93279,290.96669,51
50,98.82667,277.05712,46
51,99.81644,285.99764,40
52,96.87976,303.98305,32
53,102.03903,313.95953,26
54,97.84930,288.02352,14
55,92.75880,287.01646,51
56,94.78121,307.96193,47
57,99.81644,285.99764,40
58,96.87976,303.98305,32
59,102.03903,313.95953,26
60,97.84930,288.02352,14
61,93.85244,317.00512,51
62,94.78121,307.96193,47
63,99.81644,285.99764,40
64,96.87976,303.98305,32
65,102.03903,313.95953,26
66,97.84930,288.02352,14
67,110.95641,306.95042,51
68,111.95036,295.95373,47
69,106.00864,265.98456,39
70,93.70502,265.99061,31
71,97.83583,280.99323,25
72,97.84930,288.02352,14
73,125.95302,288.01122,51
74,111.95036,295.95373,47
75,106.00864,265.98456,39
76,93.70502,265.99061,31
77,97.83583,280.99323,25
78,97.84930,288.02352,14
79,149.00150,282.00416,51
80,133.94733,273.99646,48
81,121.89657,279.97345,40
82,107.99027,304.98770,33
83,97.83583,280.99323,25
84,97.84930,288.02352,14
85,124.99917,306.99433,51
86,110.95914,316.02735,48
87,103.79343,317.97265,40
88,96.87976,303.98305,32
89,102.03903,313.95953,26
90,97.84930,288.02352,14
91,100.87879,328.89873,51
92,110.95914,316.02735,48
93,103.79343,317.97265,40
94,96.87976,303.98305,32
95,102.03903,313.95953,26
96,97.84930,288.02352,14
97,126.94568,314.96165,51
98,134.00425,320.86902,46
99,136.95612,326.01632,41
100,107.99027,304.98770,33
101,97.83583,280.99323,25
102,97.84930,288.02352,14
103,117.96076,333.95102,51
104,100.86588,339.04807,48
105,103.79343,317.97265,40
106,96.87976,303.98305,32
107,102.03903,313.95953,26
108,97.84930,288.02352,14
109,96.87327,357.99505,51
110,100.86588,339.04807,48
111,103.79343,317.97265,40
112,96.87976,303.98305,32
113,102.03903,313.95953,26
114,97.84930,288.02352,14
115,112.93782,349.95023,51
116,122.96914,336.97505,46
117,113.90372,338.92421,40
118,118.95989,344.06054,35
119,102.03903,313.95953,26
120,97.84930,288.02352,14
121,118.99331,355.99493,51
122,105.87865,361.95660,47
123,113.90372,338.92421,40
124,118.95989,344.06054,35
125,102.03903,313.95953,26
126,97.84930,288.02352,14
127,101.95465,377.00424,51
128,105.87865,361.95660,47
129,113.90372,338.92421,40
130,118.95989,344.06054,35
131,102.03903,313.95953,26
132,97.84930,288.02352,14
133,144.95645,304.00406,51
134,145.96593,309.00343,48
135,121.89657,279.97345,40
136,107.99027,304.98770,33
137,97.83583,280.99323,25
138,97.84930,288.02352,14
139,167.99948,320.01941,51
140,145.96593,309.00343,48
141,121.89657,279.97345,40
142,107.99027,304.98770,33
143,97.83583,280.99323,25
144,97.84930,288.02352,14
145,150.02939,324.00647,51
146,134.00425,320.86902,46
147,136.95612,326.01632,41
148,107.99027,304.98770,33
149,97.83583,280.99323,25
150,97.84930,288.02352,14
151,143.02173,335.93226,51
152,122.96914,336.97505,46
153,113.90372,338.92421,40
154,118.95989,344.06054,35
155,102.03903,313.95953,26
156,97.84930,288.02352,14
157,128.99480,354.97977,51
158,138.10368,354.83047,47
159,142.00288,360.94662,42
160,118.95989,344.06054,35
161,102.03903,313.95953,26
162,97.84930,288.02352,14
163,155.07535,346.11859,51
164,150.96907,351.00777,46
165,136.95612,326.01632,41
166,107.99027,304.98770,33
167,97.83583,280.99323,25
168,97.84930,288.02352,14
169,163.00694,362.03066,51
170,150.96907,351.00777,46
171,136.95612,326.01632,41
172,107.99027,304.98770,33
173,97.83583,280.99323,25
174,97.84930,288.02352,14
175,146.97539,365.91915,51
176,138.10368,354.83047,47
177,142.00288,360.94662,42
178,118.95989,344.06054,35
179,102.03903,313.95953,26
180,97.84930,288.02352,14
181,139.99080,374.03864,51
182,153.03792,374.95266,47
183,142.00288,360.94662,42
184,118.95989,344.06054,35
185,102.03903,313.95953,26
186,97.84930,288.02352,14
187,168.97444,386.04289,51
188,153.03792,374.95266,47
189,142.00288,360.94662,42
190,118.95989,344.06054,35
191,102.03903,313.95953,26
192,97.84930,288.02352,14
