 ,XM,YM,Slice
1,484.93088,452.96657,51
2,508.02185,450.09748,46
3,533.98133,434.00399,39
4,546.98305,420.03603,30
5,555.05347,405.02702,24
6,564.04888,393.01449,8
7,493.05007,442.89052,51
8,521.02333,436.03665,44
9,533.98133,434.00399,39
10,546.98305,420.03603,30
11,555.05347,405.02702,24
12,564.04888,393.01449,8
13,518.02978,450.98564,51
14,508.02185,450.09748,46
15,533.98133,434.00399,39
16,546.98305,420.03603,30
17,555.05347,405.02702,24
18,564.04888,393.01449,8
19,518.95608,439.07644,51
20,543.02794,432.97792,47
21,557.98711,417.02699,39
22,562.11681,401.07842,31
23,563.14705,388.05094,21
24,564.04888,393.01449,8
25,549.04025,430.98355,51
26,543.02794,432.97792,47
27,557.98711,417.02699,39
28,562.11681,401.07842,31
29,563.14705,388.05094,21
30,564.04888,393.01449,8
31,550.96124,419.84310,51
32,553.02833,418.97797,44
33,557.98711,417.02699,39
34,562.11681,401.07842,31
35,563.14705,388.05094,21
36,564.04888,393.01449,8
37,566.99984,397.02365,51
38,566.13333,390.03580,47
39,573.14527,381.01211,38
40,562.11681,401.07842,31
41,563.14705,388.05094,21
42,564.04888,393.01449,8
43,566.02557,368.04547,51
44,570.07718,357.98794,45
45,573.14527,381.01211,38
46,562.11681,401.07842,31
47,563.14705,388.05094,21
48,564.04888,393.01449,8
49,570.07466,339.95938,51
50,570.07718,357.98794,45
51,573.14527,381.01211,38
52,562.11681,401.07842,31
53,563.14705,388.05094,21
54,564.04888,393.01449,8
55,559.97144,326.96936,51
56,559.03805,350.00780,44
57,568.08901,361.03163,38
58,562.08249,371.01021,29
59,563.14705,388.05094,21
60,564.04888,393.01449,8
61,554.97428,315.92094,51
62,553.95479,336.00272,46
63,562.99030,353.97533,37
64,562.08249,371.01021,29
65,563.14705,388.05094,21
66,564.04888,393.01449,8
67,559.06021,369.99106,51
68,566.13333,390.03580,47
69,573.14527,381.01211,38
70,562.11681,401.07842,31
71,563.14705,388.05094,21
72,564.04888,393.01449,8
73,549.94951,354.95231,51
74,556.95549,374.97378,46
75,568.08901,361.03163,38
76,562.08249,371.01021,29
77,563.14705,388.05094,21
78,564.04888,393.01449,8
79,539.98293,349.03830,51
80,559.03805,350.00780,44
81,568.08901,361.03163,38
82,562.08249,371.01021,29
83,563.14705,388.05094,21
84,564.04888,393.01449,8
85,532.95098,339.98461,51
86,553.95479,336.00272,46
87,562.99030,353.97533,37
88,562.08249,371.01021,29
89,563.14705,388.05094,21
90,564.04888,393.01449,8
91,521.93749,335.01134,51
92,538.09275,364.98591,44
93,562.99030,353.97533,37
94,562.08249,371.01021,29
95,563.14705,388.05094,21
96,564.04888,393.01449,8
97,510.95707,331.99148,51
98,538.09275,364.98591,44
99,562.99030,353.97533,37
100,562.08249,371.01021,29
101,563.14705,388.05094,21
102,564.04888,393.01449,8
103,551.99241,382.98132,51
104,556.95549,374.97378,46
105,568.08901,361.03163,38
106,562.08249,371.01021,29
107,563.14705,388.05094,21
108,564.04888,393.01449,8
109,534.08452,377.87870,51
110,533.97458,377.01245,46
111,528.00774,371.90020,38
112,542.05082,385.95844,31
113,555.05347,405.02702,24
114,564.04888,393.01449,8
115,507.00351,360.95691,51
116,533.97458,377.01245,46
117,528.00774,371.90020,38
118,542.05082,385.95844,31
119,555.05347,405.02702,24
120,564.04888,393.01449,8
121,537.01660,392.95747,51
122,534.00614,393.01676,47
123,544.02748,383.94770,39
124,542.05082,385.95844,31
125,555.05347,405.02702,24
126,564.04888,393.01449,8
127,538.98619,404.00463,51
128,535.01658,411.95722,48
129,548.92226,408.90012,39
130,546.98305,420.03603,30
131,555.05347,405.02702,24
132,564.04888,393.01449,8
133,515.04508,380.99398,51
134,534.00614,393.01676,47
135,544.02748,383.94770,39
136,542.05082,385.95844,31
137,555.05347,405.02702,24
138,564.04888,393.01449,8
139,505.99794,380.96964,51
140,511.02126,391.01628,47
141,544.02748,383.94770,39
142,542.05082,385.95844,31
143,555.05347,405.02702,24
144,564.04888,393.01449,8
145,493.93440,377.02498,51
146,500.92604,388.01591,47
147,528.00774,371.90020,38
148,542.05082,385.95844,31
149,555.05347,405.02702,24
150,564.04888,393.01449,8
151,530.97711,421.96785,51
152,553.02833,418.97797,44
153,557.98711,417.02699,39
154,562.11681,401.07842,31
155,563.14705,388.05094,21
156,564.04888,393.01449,8
157,522.02091,418.98433,51
158,521.02333,436.03665,44
159,533.98133,434.00399,39
160,546.98305,420.03603,30
161,555.05347,405.02702,24
162,564.04888,393.01449,8
163,507.94936,418.95875,51
164,494.01518,420.88036,49
165,548.92226,408.90012,39
166,546.98305,420.03603,30
167,555.05347,405.02702,24
168,564.04888,393.01449,8
169,504.97503,408.98983,51
170,535.01658,411.95722,48
171,548.92226,408.90012,39
172,546.98305,420.03603,30
173,555.05347,405.02702,24
174,564.04888,393.01449,8
175,490.95804,404.93779,51
176,511.02126,391.01628,47
177,544.02748,383.94770,39
178,542.05082,385.95844,31
179,555.05347,405.02702,24
180,564.04888,393.01449,8
181,480.95330,398.85884,51
182,500.92604,388.01591,47
183,528.00774,371.90020,38
184,542.05082,385.95844,31
185,555.05347,405.02702,24
186,564.04888,393.01449,8
187,471.04528,419.93670,51
188,494.01518,420.88036,49
189,548.92226,408.90012,39
190,546.98305,420.03603,30
191,555.05347,405.02702,24
192,564.04888,393.01449,8
