 ,XM,YM,Slice
1,468.94443,140.74993,51
2,487.01014,137.77471,48
3,512.07283,133.83524,41
4,523.18513,145.78600,35
5,534.16672,156.91516,26
6,544.19668,160.86633,17
7,499.05741,137.78184,51
8,487.01014,137.77471,48
9,512.07283,133.83524,41
10,523.18513,145.78600,35
11,534.16672,156.91516,26
12,544.19668,160.86633,17
13,487.01569,155.00359,51
14,503.03252,153.99141,48
15,524.02929,150.96663,42
16,523.18513,145.78600,35
17,534.16672,156.91516,26
18,544.19668,160.86633,17
19,497.00527,168.96973,51
20,518.00043,164.88983,49
21,524.02929,150.96663,42
22,523.18513,145.78600,35
23,534.16672,156.91516,26
24,544.19668,160.86633,17
25,497.99887,146.95300,51
26,522.13293,146.73306,46
27,512.07283,133.83524,41
28,523.18513,145.78600,35
29,534.16672,156.91516,26
30,544.19668,160.86633,17
31,511.00750,157.04934,51
32,503.03252,153.99141,48
33,524.02929,150.96663,42
34,523.18513,145.78600,35
35,534.16672,156.91516,26
36,544.19668,160.86633,17
37,525.00189,147.91045,51
38,522.13293,146.73306,46
39,512.07283,133.83524,41
40,523.18513,145.78600,35
41,534.16672,156.91516,26
42,544.19668,160.86633,17
43,522.00519,163.98436,51
44,518.00043,164.88983,49
45,524.02929,150.96663,42
46,523.18513,145.78600,35
47,534.16672,156.91516,26
48,544.19668,160.86633,17
49,510.94254,180.92318,51
50,512.90202,192.97792,48
51,534.98732,174.96383,40
52,533.94895,179.99818,32
53,534.16672,156.91516,26
54,544.19668,160.86633,17
55,498.90552,206.97648,51
56,512.90202,192.97792,48
57,534.98732,174.96383,40
58,533.94895,179.99818,32
59,534.16672,156.91516,26
60,544.19668,160.86633,17
61,509.97264,201.97214,51
62,527.00132,185.99491,48
63,534.98732,174.96383,40
64,533.94895,179.99818,32
65,534.16672,156.91516,26
66,544.19668,160.86633,17
67,524.99735,178.99952,51
68,527.00132,185.99491,48
69,534.98732,174.96383,40
70,533.94895,179.99818,32
71,534.16672,156.91516,26
72,544.19668,160.86633,17
73,539.05890,169.89343,51
74,541.06440,177.96066,47
75,549.02339,173.97118,40
76,543.98406,180.00863,34
77,549.03121,177.98539,25
78,544.19668,160.86633,17
79,528.99047,189.95877,51
80,541.06440,177.96066,47
81,549.02339,173.97118,40
82,543.98406,180.00863,34
83,549.03121,177.98539,25
84,544.19668,160.86633,17
85,551.01485,174.96734,51
86,555.11811,185.94638,49
87,559.05005,188.96646,42
88,550.05053,202.02432,34
89,549.03121,177.98539,25
90,544.19668,160.86633,17
91,556.92884,199.97224,51
92,555.11811,185.94638,49
93,559.05005,188.96646,42
94,550.05053,202.02432,34
95,549.03121,177.98539,25
96,544.19668,160.86633,17
97,538.99175,192.02498,51
98,540.00955,202.98929,46
99,549.02339,173.97118,40
100,543.98406,180.00863,34
101,549.03121,177.98539,25
102,544.19668,160.86633,17
103,546.03385,196.97035,51
104,545.00319,211.99042,47
105,545.00080,209.99144,41
106,543.98406,180.00863,34
107,549.03121,177.98539,25
108,544.19668,160.86633,17
109,521.92369,209.96406,51
110,512.00850,219.95514,49
111,534.97045,199.00108,41
112,533.94895,179.99818,32
113,534.16672,156.91516,26
114,544.19668,160.86633,17
115,495.94929,228.91776,51
116,512.00850,219.95514,49
117,534.97045,199.00108,41
118,533.94895,179.99818,32
119,534.16672,156.91516,26
120,544.19668,160.86633,17
121,488.99890,241.98943,51
122,515.00242,229.96526,47
123,534.97045,199.00108,41
124,533.94895,179.99818,32
125,534.16672,156.91516,26
126,544.19668,160.86633,17
127,506.00535,244.00025,51
128,522.05497,240.04963,48
129,545.00080,209.99144,41
130,543.98406,180.00863,34
131,549.03121,177.98539,25
132,544.19668,160.86633,17
133,521.96914,229.94111,51
134,515.00242,229.96526,47
135,534.97045,199.00108,41
136,533.94895,179.99818,32
137,534.16672,156.91516,26
138,544.19668,160.86633,17
139,530.00938,214.99814,51
140,540.00955,202.98929,46
141,549.02339,173.97118,40
142,543.98406,180.00863,34
143,549.03121,177.98539,25
144,544.19668,160.86633,17
145,541.97140,220.99590,51
146,545.00319,211.99042,47
147,545.00080,209.99144,41
148,543.98406,180.00863,34
149,549.03121,177.98539,25
150,544.19668,160.86633,17
151,551.05261,215.97770,51
152,549.95920,223.99555,49
153,550.97505,216.96570,41
154,550.05053,202.02432,34
155,549.03121,177.98539,25
156,544.19668,160.86633,17
157,557.98876,228.99663,51
158,560.02830,220.98929,47
159,559.05005,188.96646,42
160,550.05053,202.02432,34
161,549.03121,177.98539,25
162,544.19668,160.86633,17
163,559.15288,253.95811,51
164,560.02830,220.98929,47
165,559.05005,188.96646,42
166,550.05053,202.02432,34
167,549.03121,177.98539,25
168,544.19668,160.86633,17
169,547.97879,238.97235,51
170,549.95920,223.99555,49
171,550.97505,216.96570,41
172,550.05053,202.02432,34
173,549.03121,177.98539,25
174,544.19668,160.86633,17
175,529.99117,236.94184,51
176,522.05497,240.04963,48
177,545.00080,209.99144,41
178,543.98406,180.00863,34
179,549.03121,177.98539,25
180,544.19668,160.86633,17
181,530.99388,247.99270,51
182,525.98326,248.95578,48
183,550.97505,216.96570,41
184,550.05053,202.02432,34
185,549.03121,177.98539,25
186,544.19668,160.86633,17
187,508.89738,256.92887,51
188,525.98326,248.95578,48
189,550.97505,216.96570,41
190,550.05053,202.02432,34
191,549.03121,177.98539,25
192,544.19668,160.86633,17
