 ,XM,YM,Slice
1,527.16096,166.85701,51
2,541.17460,181.92502,47
3,549.09422,190.01034,40
4,531.94342,211.90374,34
5,531.93829,210.92255,26
6,545.08158,191.93405,51
7,541.17460,181.92502,47
8,549.09422,190.01034,40
9,531.94342,211.90374,34
10,531.93829,210.92255,26
11,529.88794,188.06903,51
12,539.96002,203.02565,46
13,549.09422,190.01034,40
14,531.94342,211.90374,34
15,531.93829,210.92255,26
16,541.17574,212.81303,51
17,539.96002,203.02565,46
18,549.09422,190.01034,40
19,531.94342,211.90374,34
20,531.93829,210.92255,26
21,530.03057,219.96194,51
22,520.02107,219.93574,47
23,515.94515,217.87643,40
24,531.94342,211.90374,34
25,531.93829,210.92255,26
26,538.97463,234.84772,51
27,537.98017,231.91675,46
28,533.99023,223.95903,40
29,509.98679,232.90140,33
30,531.93829,210.92255,26
31,515.94822,238.96394,51
32,537.98017,231.91675,46
33,533.99023,223.95903,40
34,509.98679,232.90140,33
35,531.93829,210.92255,26
36,506.91458,235.95659,51
37,507.94306,251.96567,46
38,533.99023,223.95903,40
39,509.98679,232.90140,33
40,531.93829,210.92255,26
41,493.01453,230.97575,51
42,479.01145,234.98238,48
43,515.94515,217.87643,40
44,531.94342,211.90374,34
45,531.93829,210.92255,26
46,493.90346,216.87203,51
47,520.02107,219.93574,47
48,515.94515,217.87643,40
49,531.94342,211.90374,34
50,531.93829,210.92255,26
51,457.96078,239.89642,51
52,479.01145,234.98238,48
53,515.94515,217.87643,40
54,531.94342,211.90374,34
55,531.93829,210.92255,26
56,466.88076,255.95280,51
57,463.87917,266.99725,45
58,487.94585,244.94439,40
59,509.98679,232.90140,33
60,531.93829,210.92255,26
61,457.00156,276.99218,51
62,463.87917,266.99725,45
63,487.94585,244.94439,40
64,509.98679,232.90140,33
65,531.93829,210.92255,26
66,474.93700,262.98858,51
67,489.05597,250.06751,45
68,487.94585,244.94439,40
69,509.98679,232.90140,33
70,531.93829,210.92255,26
71,488.83702,250.92994,51
72,489.05597,250.06751,45
73,487.94585,244.94439,40
74,509.98679,232.90140,33
75,531.93829,210.92255,26
76,508.00253,269.99907,51
77,507.94306,251.96567,46
78,533.99023,223.95903,40
79,509.98679,232.90140,33
80,531.93829,210.92255,26
