 ,XM,YM,Slice
1,142.93812,126.91361,51
2,134.83250,136.94999,49
3,130.82939,155.98831,41
4,138.02489,179.99454,35
5,132.93371,198.98906,26
6,125.78283,213.96599,20
7,128.79611,146.88531,51
8,134.83250,136.94999,49
9,130.82939,155.98831,41
10,138.02489,179.99454,35
11,132.93371,198.98906,26
12,125.78283,213.96599,20
13,149.01477,160.98056,51
14,148.98126,177.00869,48
15,150.96818,188.99992,40
16,138.02489,179.99454,35
17,132.93371,198.98906,26
18,125.78283,213.96599,20
19,141.95485,178.00226,51
20,130.82939,155.98831,41
21,138.02489,179.99454,35
22,132.93371,198.98906,26
23,125.78283,213.96599,20
24,133.95280,173.98930,51
25,129.93466,187.01189,48
26,141.90362,195.05083,41
27,133.00061,214.99497,33
28,132.93371,198.98906,26
29,125.78283,213.96599,20
30,135.88859,206.04322,51
31,129.93466,187.01189,48
32,141.90362,195.05083,41
33,133.00061,214.99497,33
34,132.93371,198.98906,26
35,125.78283,213.96599,20
36,162.02764,186.98137,51
37,148.98126,177.00869,48
38,150.96818,188.99992,40
39,138.02489,179.99454,35
40,132.93371,198.98906,26
41,125.78283,213.96599,20
42,121.73361,176.06733,51
43,121.80457,190.97824,49
44,125.76839,208.04824,43
45,119.68857,219.02551,33
46,119.75992,234.99732,26
47,125.78283,213.96599,20
48,119.77069,199.02286,51
49,121.80457,190.97824,49
50,125.76839,208.04824,43
51,119.68857,219.02551,33
52,119.75992,234.99732,26
53,125.78283,213.96599,20
54,165.98291,202.92071,51
55,170.00371,206.96842,47
56,150.96818,188.99992,40
57,138.02489,179.99454,35
58,132.93371,198.98906,26
59,125.78283,213.96599,20
60,196.01408,203.86718,51
61,170.00371,206.96842,47
62,150.96818,188.99992,40
63,138.02489,179.99454,35
64,132.93371,198.98906,26
65,125.78283,213.96599,20
66,191.96259,222.05804,51
67,162.97999,215.05806,48
68,141.90362,195.05083,41
69,133.00061,214.99497,33
70,132.93371,198.98906,26
71,125.78283,213.96599,20
72,163.00335,210.96320,51
73,162.97999,215.05806,48
74,141.90362,195.05083,41
75,133.00061,214.99497,33
76,132.93371,198.98906,26
77,125.78283,213.96599,20
78,133.99375,219.99611,51
79,138.03753,229.96739,49
80,125.76839,208.04824,43
81,119.68857,219.02551,33
82,119.75992,234.99732,26
83,125.78283,213.96599,20
84,123.85912,224.02066,51
85,125.81209,232.00792,46
86,125.74205,227.01602,39
87,119.68857,219.02551,33
88,119.75992,234.99732,26
89,125.78283,213.96599,20
90,155.97382,220.90715,51
91,149.94871,220.06401,47
92,140.94650,226.03086,41
93,133.00061,214.99497,33
94,132.93371,198.98906,26
95,125.78283,213.96599,20
96,177.00053,230.88490,51
97,149.94871,220.06401,47
98,140.94650,226.03086,41
99,133.00061,214.99497,33
100,132.93371,198.98906,26
101,125.78283,213.96599,20
102,176.96830,243.02917,51
103,182.02566,241.07955,49
104,144.02133,249.01077,43
105,128.97047,256.03091,36
106,119.75992,234.99732,26
107,125.78283,213.96599,20
108,202.00604,238.04238,51
109,182.02566,241.07955,49
110,144.02133,249.01077,43
111,128.97047,256.03091,36
112,119.75992,234.99732,26
113,125.78283,213.96599,20
114,155.90486,242.97963,51
115,148.96771,250.98926,49
116,140.94650,226.03086,41
117,133.00061,214.99497,33
118,132.93371,198.98906,26
119,125.78283,213.96599,20
120,145.92827,263.91426,51
121,148.96771,250.98926,49
122,140.94650,226.03086,41
123,133.00061,214.99497,33
124,132.93371,198.98906,26
125,125.78283,213.96599,20
126,161.91372,259.93804,51
127,150.05688,270.02224,49
128,144.02133,249.01077,43
129,128.97047,256.03091,36
130,119.75992,234.99732,26
131,125.78283,213.96599,20
132,151.07663,281.03270,51
133,150.05688,270.02224,49
134,144.02133,249.01077,43
135,128.97047,256.03091,36
136,119.75992,234.99732,26
137,125.78283,213.96599,20
138,144.07141,244.98764,51
139,138.03753,229.96739,49
140,125.76839,208.04824,43
141,119.68857,219.02551,33
142,119.75992,234.99732,26
143,125.78283,213.96599,20
144,124.85628,249.03027,51
145,125.88242,256.99052,47
146,125.74205,227.01602,39
147,119.68857,219.02551,33
148,119.75992,234.99732,26
149,125.78283,213.96599,20
150,134.95925,254.02212,51
151,125.81209,232.00792,46
152,125.74205,227.01602,39
153,119.68857,219.02551,33
154,119.75992,234.99732,26
155,125.78283,213.96599,20
156,132.03074,274.98463,51
157,125.88242,256.99052,47
158,125.74205,227.01602,39
159,119.68857,219.02551,33
160,119.75992,234.99732,26
161,125.78283,213.96599,20
162,119.81599,270.00906,51
163,123.81597,279.00990,47
164,129.91842,278.01269,41
165,128.97047,256.03091,36
166,119.75992,234.99732,26
167,125.78283,213.96599,20
168,126.92314,293.00112,51
169,123.81597,279.00990,47
170,129.91842,278.01269,41
171,128.97047,256.03091,36
172,119.75992,234.99732,26
173,125.78283,213.96599,20
174,146.01098,303.05287,51
175,133.98918,306.02546,49
176,129.91842,278.01269,41
177,128.97047,256.03091,36
178,119.75992,234.99732,26
179,125.78283,213.96599,20
180,129.95917,314.98338,51
181,133.98918,306.02546,49
182,129.91842,278.01269,41
183,128.97047,256.03091,36
184,119.75992,234.99732,26
185,125.78283,213.96599,20
