 ,XM,YM,Slice
1,458.99740,173.09894,51
2,448.00334,165.91147,47
3,455.96592,138.94864,39
4,436.01095,132.00004,32
5,416.05484,113.94584,24
6,429.03896,163.94595,51
7,448.00334,165.91147,47
8,455.96592,138.94864,39
9,436.01095,132.00004,32
10,416.05484,113.94584,24
11,444.00267,160.03772,51
12,432.07584,142.93338,45
13,420.97991,118.05343,39
14,400.01747,112.99569,31
15,416.05484,113.94584,24
16,470.02498,154.87955,51
17,442.10070,136.93576,45
18,436.09200,115.96118,39
19,436.01095,132.00004,32
20,416.05484,113.94584,24
21,493.02959,140.93167,51
22,475.97215,137.92761,49
23,455.96592,138.94864,39
24,436.01095,132.00004,32
25,416.05484,113.94584,24
26,463.02982,137.95857,51
27,475.97215,137.92761,49
28,455.96592,138.94864,39
29,436.01095,132.00004,32
30,416.05484,113.94584,24
31,443.96804,134.98892,51
32,442.10070,136.93576,45
33,436.09200,115.96118,39
34,436.01095,132.00004,32
35,416.05484,113.94584,24
36,420.97947,138.03560,51
37,432.07584,142.93338,45
38,420.97991,118.05343,39
39,400.01747,112.99569,31
40,416.05484,113.94584,24
41,423.05809,125.91613,51
42,401.98544,119.86597,46
43,420.97991,118.05343,39
44,400.01747,112.99569,31
45,416.05484,113.94584,24
46,435.95903,111.79546,51
47,421.99227,110.70329,47
48,436.09200,115.96118,39
49,436.01095,132.00004,32
50,416.05484,113.94584,24
51,412.01050,101.83231,51
52,396.97786,104.75288,45
53,389.96874,102.92292,40
54,400.01747,112.99569,31
55,416.05484,113.94584,24
56,406.00191,111.91725,51
57,421.99227,110.70329,47
58,436.09200,115.96118,39
59,436.01095,132.00004,32
60,416.05484,113.94584,24
61,376.97889,110.94735,51
62,396.97786,104.75288,45
63,389.96874,102.92292,40
64,400.01747,112.99569,31
65,416.05484,113.94584,24
66,381.99815,127.97953,51
67,401.98544,119.86597,46
68,420.97991,118.05343,39
69,400.01747,112.99569,31
70,416.05484,113.94584,24
71,361.01069,119.99592,51
72,351.01233,117.99909,46
73,389.96874,102.92292,40
74,400.01747,112.99569,31
75,416.05484,113.94584,24
76,326.03693,112.90847,51
77,351.01233,117.99909,46
78,389.96874,102.92292,40
79,400.01747,112.99569,31
80,416.05484,113.94584,24
