 ,XM,YM,Slice
1,316.99479,123.98688,51
2,327.03218,117.00070,49
3,350.00751,103.94776,42
4,368.97722,105.90976,34
5,385.98555,105.00940,28
6,406.98738,97.87161,20
7,424.00125,87.75471,6
8,334.95572,107.80250,51
9,327.03218,117.00070,49
10,350.00751,103.94776,42
11,368.97722,105.90976,34
12,385.98555,105.00940,28
13,406.98738,97.87161,20
14,424.00125,87.75471,6
15,348.02600,117.16285,51
16,358.02489,111.87124,49
17,350.00751,103.94776,42
18,368.97722,105.90976,34
19,385.98555,105.00940,28
20,406.98738,97.87161,20
21,424.00125,87.75471,6
22,364.99483,113.92953,51
23,358.02489,111.87124,49
24,350.00751,103.94776,42
25,368.97722,105.90976,34
26,385.98555,105.00940,28
27,406.98738,97.87161,20
28,424.00125,87.75471,6
29,359.94634,103.90413,51
30,377.01168,103.95965,48
31,388.96925,100.83540,42
32,397.99090,101.79170,34
33,417.02304,98.77997,27
34,406.98738,97.87161,20
35,424.00125,87.75471,6
36,384.96878,105.91219,51
37,377.01168,103.95965,48
38,388.96925,100.83540,42
39,397.99090,101.79170,34
40,417.02304,98.77997,27
41,406.98738,97.87161,20
42,424.00125,87.75471,6
43,378.97632,120.93594,51
44,364.97094,123.82891,47
45,366.93254,122.96605,42
46,368.97722,105.90976,34
47,385.98555,105.00940,28
48,406.98738,97.87161,20
49,424.00125,87.75471,6
50,352.00137,129.87130,51
51,364.97094,123.82891,47
52,366.93254,122.96605,42
53,368.97722,105.90976,34
54,385.98555,105.00940,28
55,406.98738,97.87161,20
56,424.00125,87.75471,6
57,333.00936,155.01745,51
58,366.93254,122.96605,42
59,368.97722,105.90976,34
60,385.98555,105.00940,28
61,406.98738,97.87161,20
62,424.00125,87.75471,6
63,359.98085,140.99418,51
64,375.06672,129.03790,43
65,387.91545,130.96411,36
66,385.98555,105.00940,28
67,406.98738,97.87161,20
68,424.00125,87.75471,6
69,351.01450,174.97767,51
70,368.86595,174.04302,45
71,387.91545,130.96411,36
72,385.98555,105.00940,28
73,406.98738,97.87161,20
74,424.00125,87.75471,6
75,341.05683,169.01538,51
76,375.06672,129.03790,43
77,387.91545,130.96411,36
78,385.98555,105.00940,28
79,406.98738,97.87161,20
80,424.00125,87.75471,6
81,356.95261,213.04242,51
82,368.86595,174.04302,45
83,387.91545,130.96411,36
84,385.98555,105.00940,28
85,406.98738,97.87161,20
86,424.00125,87.75471,6
87,361.01946,169.04748,51
88,388.15918,126.10995,42
89,406.08632,129.97182,35
90,406.00764,123.04456,28
91,429.04786,102.99668,19
92,424.00125,87.75471,6
93,366.09131,207.95792,51
94,385.01500,148.99698,48
95,413.07296,106.96996,41
96,397.99090,101.79170,34
97,417.02304,98.77997,27
98,406.98738,97.87161,20
99,424.00125,87.75471,6
100,368.01241,183.97779,51
101,378.94248,142.95840,49
102,388.15918,126.10995,42
103,406.08632,129.97182,35
104,406.00764,123.04456,28
105,429.04786,102.99668,19
106,424.00125,87.75471,6
107,372.96909,158.99454,51
108,378.94248,142.95840,49
109,388.15918,126.10995,42
110,406.08632,129.97182,35
111,406.00764,123.04456,28
112,429.04786,102.99668,19
113,424.00125,87.75471,6
114,381.00884,163.02652,51
115,385.01500,148.99698,48
116,413.07296,106.96996,41
117,397.99090,101.79170,34
118,417.02304,98.77997,27
119,406.98738,97.87161,20
120,424.00125,87.75471,6
121,376.93816,242.99368,51
122,399.96866,130.96826,42
123,428.98926,104.80995,34
124,417.02304,98.77997,27
125,406.98738,97.87161,20
126,424.00125,87.75471,6
127,377.02701,189.99507,51
128,389.00653,164.98558,49
129,399.96866,130.96826,42
130,428.98926,104.80995,34
131,417.02304,98.77997,27
132,406.98738,97.87161,20
133,424.00125,87.75471,6
134,389.01388,123.96382,51
135,396.92105,112.87597,49
136,388.96925,100.83540,42
137,397.99090,101.79170,34
138,417.02304,98.77997,27
139,406.98738,97.87161,20
140,424.00125,87.75471,6
141,406.95849,107.87365,51
142,396.92105,112.87597,49
143,388.96925,100.83540,42
144,397.99090,101.79170,34
145,417.02304,98.77997,27
146,406.98738,97.87161,20
147,424.00125,87.75471,6
148,400.00138,124.97714,51
149,411.98309,111.85700,49
150,413.07296,106.96996,41
151,397.99090,101.79170,34
152,417.02304,98.77997,27
153,406.98738,97.87161,20
154,424.00125,87.75471,6
155,421.94139,106.76209,51
156,411.98309,111.85700,49
157,413.07296,106.96996,41
158,397.99090,101.79170,34
159,417.02304,98.77997,27
160,406.98738,97.87161,20
161,424.00125,87.75471,6
162,402.95538,133.91146,51
163,439.96691,98.83685,41
164,428.98926,104.80995,34
165,417.02304,98.77997,27
166,406.98738,97.87161,20
167,424.00125,87.75471,6
168,430.02859,113.89968,51
169,441.94561,104.83211,48
170,439.96691,98.83685,41
171,428.98926,104.80995,34
172,417.02304,98.77997,27
173,406.98738,97.87161,20
174,424.00125,87.75471,6
175,451.00809,103.97760,51
176,441.94561,104.83211,48
177,439.96691,98.83685,41
178,428.98926,104.80995,34
179,417.02304,98.77997,27
180,406.98738,97.87161,20
181,424.00125,87.75471,6
182,444.03920,116.96547,51
183,461.99833,107.83304,44
184,475.01129,100.94664,37
185,440.09105,106.02942,28
186,429.04786,102.99668,19
187,424.00125,87.75471,6
188,404.01801,143.95756,51
189,417.98058,131.98024,49
190,436.99114,118.85352,44
191,429.07514,116.06563,36
192,440.09105,106.02942,28
193,429.04786,102.99668,19
194,424.00125,87.75471,6
195,426.00335,132.00137,51
196,417.98058,131.98024,49
197,436.99114,118.85352,44
198,429.07514,116.06563,36
199,440.09105,106.02942,28
200,429.04786,102.99668,19
201,424.00125,87.75471,6
202,413.96380,147.97226,51
203,426.98800,139.99886,49
204,419.00144,128.04055,41
205,429.07514,116.06563,36
206,440.09105,106.02942,28
207,429.04786,102.99668,19
208,424.00125,87.75471,6
209,435.98236,138.02865,51
210,426.98800,139.99886,49
211,419.00144,128.04055,41
212,429.07514,116.06563,36
213,440.09105,106.02942,28
214,429.04786,102.99668,19
215,424.00125,87.75471,6
216,398.02825,167.03830,51
217,398.98419,162.03630,49
218,419.00144,128.04055,41
219,429.07514,116.06563,36
220,440.09105,106.02942,28
221,429.04786,102.99668,19
222,424.00125,87.75471,6
223,387.99698,166.98117,51
224,389.00653,164.98558,49
225,399.96866,130.96826,42
226,428.98926,104.80995,34
227,417.02304,98.77997,27
228,406.98738,97.87161,20
229,424.00125,87.75471,6
230,385.95769,203.97500,51
231,394.94941,184.96352,49
232,411.98626,148.11852,42
233,406.08632,129.97182,35
234,406.00764,123.04456,28
235,429.04786,102.99668,19
236,424.00125,87.75471,6
237,387.00745,188.01774,51
238,398.98419,162.03630,49
239,419.00144,128.04055,41
240,429.07514,116.06563,36
241,440.09105,106.02942,28
242,429.04786,102.99668,19
243,424.00125,87.75471,6
244,437.00950,148.06792,51
245,421.96376,151.94301,48
246,411.98626,148.11852,42
247,406.08632,129.97182,35
248,406.00764,123.04456,28
249,429.04786,102.99668,19
250,424.00125,87.75471,6
251,413.97859,160.96568,51
252,421.96376,151.94301,48
253,411.98626,148.11852,42
254,406.08632,129.97182,35
255,406.00764,123.04456,28
256,429.04786,102.99668,19
257,424.00125,87.75471,6
258,398.97440,185.00227,51
259,394.94941,184.96352,49
260,411.98626,148.11852,42
261,406.08632,129.97182,35
262,406.00764,123.04456,28
263,429.04786,102.99668,19
264,424.00125,87.75471,6
265,417.02731,174.99092,51
266,397.98731,168.00415,44
267,402.13921,148.94508,36
268,406.00764,123.04456,28
269,429.04786,102.99668,19
270,424.00125,87.75471,6
271,394.99890,210.99746,51
272,397.98731,168.00415,44
273,402.13921,148.94508,36
274,406.00764,123.04456,28
275,429.04786,102.99668,19
276,424.00125,87.75471,6
277,411.95599,198.93718,51
278,414.05345,178.05907,46
279,402.13921,148.94508,36
280,406.00764,123.04456,28
281,429.04786,102.99668,19
282,424.00125,87.75471,6
283,433.12282,170.10395,51
284,414.05345,178.05907,46
285,402.13921,148.94508,36
286,406.00764,123.04456,28
287,429.04786,102.99668,19
288,424.00125,87.75471,6
289,461.01903,121.05023,51
290,436.99114,118.85352,44
291,429.07514,116.06563,36
292,440.09105,106.02942,28
293,429.04786,102.99668,19
294,424.00125,87.75471,6
295,476.00605,127.01130,51
296,494.04325,113.89564,45
297,475.01129,100.94664,37
298,440.09105,106.02942,28
299,429.04786,102.99668,19
300,424.00125,87.75471,6
301,500.98652,122.93566,51
302,512.06618,115.85713,49
303,494.04325,113.89564,45
304,475.01129,100.94664,37
305,440.09105,106.02942,28
306,429.04786,102.99668,19
307,424.00125,87.75471,6
308,522.05666,117.92305,51
309,512.06618,115.85713,49
310,494.04325,113.89564,45
311,475.01129,100.94664,37
312,440.09105,106.02942,28
313,429.04786,102.99668,19
314,424.00125,87.75471,6
315,488.00515,107.77241,51
316,461.99833,107.83304,44
317,475.01129,100.94664,37
318,440.09105,106.02942,28
319,429.04786,102.99668,19
320,424.00125,87.75471,6
