 ,XM,YM,Slice
1,557.08621,192.93726,51
2,556.05512,216.99248,46
3,564.21694,244.01017,42
4,562.17919,278.99868,31
5,564.18192,287.98790,22
6,563.11487,283.02667,7
7,545.99016,196.99320,51
8,543.96361,213.99575,48
9,554.05867,236.99133,41
10,550.00892,272.00574,34
11,553.13474,294.99787,27
12,563.11487,283.02667,7
13,539.00037,222.99590,51
14,543.96361,213.99575,48
15,554.05867,236.99133,41
16,550.00892,272.00574,34
17,553.13474,294.99787,27
18,563.11487,283.02667,7
19,546.96322,226.96999,51
20,551.08156,254.98677,46
21,554.05867,236.99133,41
22,550.00892,272.00574,34
23,553.13474,294.99787,27
24,563.11487,283.02667,7
25,556.04208,230.03170,51
26,556.05512,216.99248,46
27,564.21694,244.01017,42
28,562.17919,278.99868,31
29,564.18192,287.98790,22
30,563.11487,283.02667,7
31,565.02531,238.98559,51
32,565.14155,266.99699,47
33,564.21694,244.01017,42
34,562.17919,278.99868,31
35,564.18192,287.98790,22
36,563.11487,283.02667,7
37,566.10968,284.03049,51
38,565.14155,266.99699,47
39,564.21694,244.01017,42
40,562.17919,278.99868,31
41,564.18192,287.98790,22
42,563.11487,283.02667,7
43,546.07508,251.91785,51
44,551.08156,254.98677,46
45,554.05867,236.99133,41
46,550.00892,272.00574,34
47,553.13474,294.99787,27
48,563.11487,283.02667,7
49,526.91426,234.98219,51
50,542.98802,260.02298,47
51,567.23561,280.94605,38
52,562.17919,278.99868,31
53,564.18192,287.98790,22
54,563.11487,283.02667,7
55,520.88562,217.95066,51
56,530.02970,249.02239,47
57,553.02657,293.99246,40
58,550.92107,315.98628,32
59,553.13474,294.99787,27
60,563.11487,283.02667,7
61,507.95444,246.98600,51
62,515.89265,267.02072,48
63,537.96066,280.01270,41
64,550.00892,272.00574,34
65,553.13474,294.99787,27
66,563.11487,283.02667,7
67,516.95235,254.97339,51
68,530.02970,249.02239,47
69,553.02657,293.99246,40
70,550.92107,315.98628,32
71,553.13474,294.99787,27
72,563.11487,283.02667,7
73,527.88142,264.95305,51
74,547.99897,294.03798,45
75,568.10527,307.99842,38
76,562.24868,318.00264,30
77,564.18192,287.98790,22
78,563.11487,283.02667,7
79,542.93221,271.01584,51
80,542.98802,260.02298,47
81,567.23561,280.94605,38
82,562.17919,278.99868,31
83,564.18192,287.98790,22
84,563.11487,283.02667,7
85,555.13361,280.97374,51
86,562.18916,297.96778,46
87,567.23561,280.94605,38
88,562.17919,278.99868,31
89,564.18192,287.98790,22
90,563.11487,283.02667,7
91,564.15129,311.95756,51
92,562.18916,297.96778,46
93,567.23561,280.94605,38
94,562.17919,278.99868,31
95,564.18192,287.98790,22
96,563.11487,283.02667,7
97,560.15012,324.97664,51
98,565.21700,335.00032,46
99,568.10527,307.99842,38
100,562.24868,318.00264,30
101,564.18192,287.98790,22
102,563.11487,283.02667,7
103,565.13435,354.98742,51
104,565.21700,335.00032,46
105,568.10527,307.99842,38
106,562.24868,318.00264,30
107,564.18192,287.98790,22
108,563.11487,283.02667,7
109,542.04367,292.97351,51
110,547.99897,294.03798,45
111,568.10527,307.99842,38
112,562.24868,318.00264,30
113,564.18192,287.98790,22
114,563.11487,283.02667,7
115,561.16145,376.95786,51
116,563.16975,376.00537,46
117,567.29836,341.96525,40
118,562.24868,318.00264,30
119,564.18192,287.98790,22
120,563.11487,283.02667,7
121,563.15992,404.99188,51
122,563.16975,376.00537,46
123,567.29836,341.96525,40
124,562.24868,318.00264,30
125,564.18192,287.98790,22
126,563.11487,283.02667,7
127,549.99002,394.02286,51
128,555.08820,365.01806,44
129,555.05139,331.99359,38
130,550.92107,315.98628,32
131,553.13474,294.99787,27
132,563.11487,283.02667,7
133,529.03688,361.91594,51
134,555.08820,365.01806,44
135,555.05139,331.99359,38
136,550.92107,315.98628,32
137,553.13474,294.99787,27
138,563.11487,283.02667,7
139,551.94892,348.99215,51
140,555.03604,339.00012,45
141,567.29836,341.96525,40
142,562.24868,318.00264,30
143,564.18192,287.98790,22
144,563.11487,283.02667,7
145,543.07100,312.94103,51
146,543.06531,300.95062,45
147,553.02657,293.99246,40
148,550.92107,315.98628,32
149,553.13474,294.99787,27
150,563.11487,283.02667,7
151,541.01803,328.99418,51
152,555.03604,339.00012,45
153,567.29836,341.96525,40
154,562.24868,318.00264,30
155,564.18192,287.98790,22
156,563.11487,283.02667,7
157,534.01491,337.99762,51
158,536.14561,317.95273,47
159,555.05139,331.99359,38
160,550.92107,315.98628,32
161,553.13474,294.99787,27
162,563.11487,283.02667,7
163,520.94030,335.01623,51
164,517.08969,313.95037,48
165,537.96066,280.01270,41
166,550.00892,272.00574,34
167,553.13474,294.99787,27
168,563.11487,283.02667,7
169,518.04768,284.97656,51
170,543.06531,300.95062,45
171,553.02657,293.99246,40
172,550.92107,315.98628,32
173,553.13474,294.99787,27
174,563.11487,283.02667,7
175,515.08911,294.93365,51
176,536.14561,317.95273,47
177,555.05139,331.99359,38
178,550.92107,315.98628,32
179,553.13474,294.99787,27
180,563.11487,283.02667,7
181,506.09057,302.92966,51
182,517.08969,313.95037,48
183,537.96066,280.01270,41
184,550.00892,272.00574,34
185,553.13474,294.99787,27
186,563.11487,283.02667,7
187,495.00794,272.98831,51
188,515.89265,267.02072,48
189,537.96066,280.01270,41
190,550.00892,272.00574,34
191,553.13474,294.99787,27
192,563.11487,283.02667,7
