 ,XM,YM,Slice
1,510.08315,135.78958,51
2,547.25623,149.77457,43
3,558.11116,169.98767,37
4,552.03457,199.00608,30
5,542.07023,147.91913,51
6,553.13992,158.95397,49
7,547.25623,149.77457,43
8,558.11116,169.98767,37
9,552.03457,199.00608,30
10,556.11814,165.88406,51
11,553.13992,158.95397,49
12,547.25623,149.77457,43
13,558.11116,169.98767,37
14,552.03457,199.00608,30
15,542.99398,168.05378,51
16,560.09467,184.98635,44
17,567.09033,199.02351,37
18,560.24152,216.01843,30
19,527.01448,158.99136,51
20,535.08079,168.99975,48
21,551.93994,178.05875,42
22,558.11116,169.98767,37
23,552.03457,199.00608,30
24,541.02275,181.99832,51
25,549.01577,191.01195,50
26,551.93994,178.05875,42
27,558.11116,169.98767,37
28,552.03457,199.00608,30
29,532.01345,185.99773,51
30,535.08079,168.99975,48
31,551.93994,178.05875,42
32,558.11116,169.98767,37
33,552.03457,199.00608,30
34,563.10196,196.97411,51
35,560.09467,184.98635,44
36,567.09033,199.02351,37
37,560.24152,216.01843,30
38,554.05502,201.99964,51
39,549.01577,191.01195,50
40,551.93994,178.05875,42
41,558.11116,169.98767,37
42,552.03457,199.00608,30
43,519.97513,230.97209,51
44,512.90800,240.90922,50
45,540.91012,224.92793,44
46,550.04252,227.01847,37
47,552.03457,199.00608,30
48,496.92457,250.94397,51
49,512.90800,240.90922,50
50,540.91012,224.92793,44
51,550.04252,227.01847,37
52,552.03457,199.00608,30
53,533.96135,230.00523,51
54,540.91012,224.92793,44
55,550.04252,227.01847,37
56,552.03457,199.00608,30
57,544.94921,233.96621,51
58,551.01393,232.02212,46
59,567.09033,199.02351,37
60,560.24152,216.01843,30
61,550.96410,241.91117,51
62,560.00590,237.90982,44
63,558.99453,236.97086,39
64,560.24152,216.01843,30
65,557.00081,253.96712,51
66,553.97921,263.99504,50
67,560.00590,237.90982,44
68,558.99453,236.97086,39
69,560.24152,216.01843,30
70,550.03051,276.98916,51
71,553.97921,263.99504,50
72,560.00590,237.90982,44
73,558.99453,236.97086,39
74,560.24152,216.01843,30
75,539.90526,271.98304,51
76,537.89111,264.95164,45
77,558.99453,236.97086,39
78,560.24152,216.01843,30
79,529.03117,269.02318,51
80,551.01393,232.02212,46
81,567.09033,199.02351,37
82,560.24152,216.01843,30
83,512.98108,262.01670,51
84,518.87988,272.05972,50
85,527.97050,260.97296,43
86,550.04252,227.01847,37
87,552.03457,199.00608,30
88,507.97435,280.99974,51
89,513.99987,294.00021,49
90,527.97050,260.97296,43
91,550.04252,227.01847,37
92,552.03457,199.00608,30
93,519.95393,287.99156,51
94,518.87988,272.05972,50
95,527.97050,260.97296,43
96,550.04252,227.01847,37
97,552.03457,199.00608,30
98,515.03663,308.97887,51
99,513.99987,294.00021,49
100,527.97050,260.97296,43
101,550.04252,227.01847,37
102,552.03457,199.00608,30
103,532.00931,318.01724,51
104,537.89111,264.95164,45
105,558.99453,236.97086,39
106,560.24152,216.01843,30
