 ,XM,YM,Slice
1,298.01184,339.99048,51
2,309.05800,354.97208,49
3,304.92514,401.00774,43
4,294.99174,424.02066,35
5,302.94792,419.98149,28
6,290.87102,442.95154,21
7,316.96891,368.04737,51
8,309.05800,354.97208,49
9,304.92514,401.00774,43
10,294.99174,424.02066,35
11,302.94792,419.98149,28
12,290.87102,442.95154,21
13,269.00719,371.98951,51
14,293.98435,378.98238,47
15,296.90979,390.01008,41
16,307.92332,404.03352,34
17,302.94792,419.98149,28
18,290.87102,442.95154,21
19,298.99247,372.83483,51
20,293.98435,378.98238,47
21,296.90979,390.01008,41
22,307.92332,404.03352,34
23,302.94792,419.98149,28
24,290.87102,442.95154,21
25,301.00356,383.00792,51
26,324.00156,404.98558,48
27,333.95284,405.04351,40
28,307.92332,404.03352,34
29,302.94792,419.98149,28
30,290.87102,442.95154,21
31,330.99011,391.93900,51
32,324.00156,404.98558,48
33,333.95284,405.04351,40
34,307.92332,404.03352,34
35,302.94792,419.98149,28
36,290.87102,442.95154,21
37,321.01644,400.97658,51
38,321.97169,407.00040,49
39,351.01669,434.05365,43
40,324.02060,428.03272,38
41,288.91248,449.93460,30
42,290.87102,442.95154,21
43,293.99398,393.00025,51
44,321.97169,407.00040,49
45,351.01669,434.05365,43
46,324.02060,428.03272,38
47,288.91248,449.93460,30
48,290.87102,442.95154,21
49,315.00211,409.03676,51
50,301.00455,414.01873,48
51,304.92514,401.00774,43
52,294.99174,424.02066,35
53,302.94792,419.98149,28
54,290.87102,442.95154,21
55,280.99343,401.96555,51
56,301.00455,414.01873,48
57,304.92514,401.00774,43
58,294.99174,424.02066,35
59,302.94792,419.98149,28
60,290.87102,442.95154,21
61,251.94690,404.90315,51
62,272.00346,399.97083,49
63,296.90979,390.01008,41
64,307.92332,404.03352,34
65,302.94792,419.98149,28
66,290.87102,442.95154,21
67,276.90209,380.93154,51
68,272.00346,399.97083,49
69,296.90979,390.01008,41
70,307.92332,404.03352,34
71,302.94792,419.98149,28
72,290.87102,442.95154,21
73,271.97781,412.87699,51
74,262.01711,420.03096,49
75,270.06138,427.05936,43
76,294.99174,424.02066,35
77,302.94792,419.98149,28
78,290.87102,442.95154,21
79,244.01598,422.04607,51
80,262.01711,420.03096,49
