 ,XM,YM,Slice
1,179.89164,201.99601,51
2,200.96456,231.02915,43
3,217.00627,252.99195,36
4,222.96506,267.03157,29
5,221.01789,247.99844,4
6,147.02963,233.00843,51
7,163.01756,229.97034,49
8,188.94233,237.02892,42
9,198.98684,255.01163,34
10,207.00706,262.01773,27
11,221.01789,247.99844,4
12,162.00017,230.93341,51
13,163.01756,229.97034,49
14,188.94233,237.02892,42
15,198.98684,255.01163,34
16,207.00706,262.01773,27
17,221.01789,247.99844,4
18,175.92400,244.99194,51
19,180.93290,255.04847,49
20,188.94233,237.02892,42
21,198.98684,255.01163,34
22,207.00706,262.01773,27
23,221.01789,247.99844,4
24,179.96602,272.97286,51
25,180.93290,255.04847,49
26,188.94233,237.02892,42
27,198.98684,255.01163,34
28,207.00706,262.01773,27
29,221.01789,247.99844,4
30,190.03608,249.99507,51
31,199.90954,276.00516,46
32,198.98684,255.01163,34
33,207.00706,262.01773,27
34,221.01789,247.99844,4
35,195.93035,294.02319,51
36,199.90954,276.00516,46
37,198.98684,255.01163,34
38,207.00706,262.01773,27
39,221.01789,247.99844,4
40,199.02516,247.98206,51
41,205.05961,261.96770,49
42,222.94234,275.02922,41
43,216.89446,284.01974,33
44,207.00706,262.01773,27
45,221.01789,247.99844,4
46,205.99033,272.01562,51
47,205.05961,261.96770,49
48,222.94234,275.02922,41
49,216.89446,284.01974,33
50,207.00706,262.01773,27
51,221.01789,247.99844,4
52,205.07468,232.01776,51
53,200.96456,231.02915,43
54,217.00627,252.99195,36
55,222.96506,267.03157,29
56,221.01789,247.99844,4
57,221.05202,256.94653,51
58,234.06984,261.90214,43
59,217.00627,252.99195,36
60,222.96506,267.03157,29
61,221.01789,247.99844,4
62,220.93080,272.03134,51
63,232.99810,279.09602,49
64,237.01394,283.97407,43
65,239.95667,289.01009,38
66,222.96506,267.03157,29
67,221.01789,247.99844,4
68,245.00072,284.98704,51
69,232.99810,279.09602,49
70,237.01394,283.97407,43
71,239.95667,289.01009,38
72,222.96506,267.03157,29
73,221.01789,247.99844,4
74,254.07349,275.92518,51
75,234.06984,261.90214,43
76,217.00627,252.99195,36
77,222.96506,267.03157,29
78,221.01789,247.99844,4
79,253.01750,298.03149,51
80,237.01394,283.97407,43
81,239.95667,289.01009,38
82,222.96506,267.03157,29
83,221.01789,247.99844,4
84,239.00690,309.98852,51
85,228.11207,294.91360,47
86,222.94234,275.02922,41
87,216.89446,284.01974,33
88,207.00706,262.01773,27
89,221.01789,247.99844,4
90,218.94291,288.02325,51
91,228.11207,294.91360,47
92,222.94234,275.02922,41
93,216.89446,284.01974,33
94,207.00706,262.01773,27
95,221.01789,247.99844,4
96,211.04307,297.94865,51
97,218.93320,304.03295,49
98,232.14785,306.91961,43
99,216.89446,284.01974,33
100,207.00706,262.01773,27
101,221.01789,247.99844,4
102,229.98670,315.02127,51
103,218.93320,304.03295,49
104,232.14785,306.91961,43
105,216.89446,284.01974,33
106,207.00706,262.01773,27
107,221.01789,247.99844,4
108,225.03398,328.82191,51
109,232.14785,306.91961,43
110,216.89446,284.01974,33
111,207.00706,262.01773,27
112,221.01789,247.99844,4
113,254.87208,329.97485,51
114,247.91230,332.99741,45
115,239.95667,289.01009,38
116,222.96506,267.03157,29
117,221.01789,247.99844,4
118,252.99522,362.01197,51
119,247.91230,332.99741,45
120,239.95667,289.01009,38
121,222.96506,267.03157,29
122,221.01789,247.99844,4
