 ,XM,YM,Slice
1,408.98126,389.00840,51
2,408.93577,409.99747,49
3,392.96486,434.95197,42
4,378.01625,452.04079,35
5,362.96476,460.02108,27
6,374.01821,458.01872,20
7,419.99022,467.03362,51
8,401.02683,467.07710,44
9,409.94678,458.02973,38
10,390.98034,463.02110,29
11,374.01821,458.01872,20
12,302.97606,462.98774,51
13,331.00142,463.03030,43
14,349.94785,459.96279,36
15,362.96476,460.02108,27
16,374.01821,458.01872,20
17,350.97157,433.04754,51
18,355.92713,447.02047,48
19,363.93926,444.98257,42
20,349.94785,459.96279,36
21,362.96476,460.02108,27
22,374.01821,458.01872,20
23,374.94147,435.96215,51
24,382.99422,444.99631,46
25,375.92268,452.90561,41
26,378.01625,452.04079,35
27,362.96476,460.02108,27
28,374.01821,458.01872,20
29,397.98339,441.92362,51
30,384.00369,458.00644,48
31,390.90990,456.97973,37
32,390.98034,463.02110,29
33,374.01821,458.01872,20
34,387.96358,466.03919,51
35,401.02683,467.07710,44
36,409.94678,458.02973,38
37,390.98034,463.02110,29
38,374.01821,458.01872,20
39,413.97716,457.96615,51
40,422.98638,458.03722,45
41,409.94678,458.02973,38
42,390.98034,463.02110,29
43,374.01821,458.01872,20
44,415.96190,434.98874,51
45,403.93034,446.99392,46
46,390.90990,456.97973,37
47,390.98034,463.02110,29
48,374.01821,458.01872,20
49,435.92973,447.98585,51
50,422.98638,458.03722,45
51,409.94678,458.02973,38
52,390.98034,463.02110,29
53,374.01821,458.01872,20
54,395.97452,453.94249,51
55,403.93034,446.99392,46
56,390.90990,456.97973,37
57,390.98034,463.02110,29
58,374.01821,458.01872,20
59,329.00931,465.98706,51
60,331.00142,463.03030,43
61,349.94785,459.96279,36
62,362.96476,460.02108,27
63,374.01821,458.01872,20
64,351.86292,452.98262,51
65,355.92713,447.02047,48
66,363.93926,444.98257,42
67,349.94785,459.96279,36
68,362.96476,460.02108,27
69,374.01821,458.01872,20
70,362.93603,457.95524,51
71,370.87473,451.92527,49
72,375.92268,452.90561,41
73,378.01625,452.04079,35
74,362.96476,460.02108,27
75,374.01821,458.01872,20
76,379.98203,442.95848,51
77,370.87473,451.92527,49
78,375.92268,452.90561,41
79,378.01625,452.04079,35
80,362.96476,460.02108,27
81,374.01821,458.01872,20
82,366.96672,423.93721,51
83,382.01697,427.98673,49
84,392.96486,434.95197,42
85,378.01625,452.04079,35
86,362.96476,460.02108,27
87,374.01821,458.01872,20
88,393.97863,425.99251,51
89,382.99422,444.99631,46
90,375.92268,452.90561,41
91,378.01625,452.04079,35
92,362.96476,460.02108,27
93,374.01821,458.01872,20
94,393.00741,417.87884,51
95,382.01697,427.98673,49
96,392.96486,434.95197,42
97,378.01625,452.04079,35
98,362.96476,460.02108,27
99,374.01821,458.01872,20
100,371.99804,412.90953,51
101,361.01005,420.96471,49
102,363.93926,444.98257,42
103,349.94785,459.96279,36
104,362.96476,460.02108,27
105,374.01821,458.01872,20
106,351.99639,416.92999,51
107,361.01005,420.96471,49
108,363.93926,444.98257,42
109,349.94785,459.96279,36
110,362.96476,460.02108,27
111,374.01821,458.01872,20
112,406.88834,409.03683,51
113,408.93577,409.99747,49
114,392.96486,434.95197,42
115,378.01625,452.04079,35
116,362.96476,460.02108,27
117,374.01821,458.01872,20
118,374.04365,462.02008,51
119,384.00369,458.00644,48
120,390.90990,456.97973,37
121,390.98034,463.02110,29
122,374.01821,458.01872,20
