 ,XM,YM,Slice
1,544.00036,244.99275,51
2,537.96000,244.84612,46
3,556.04627,236.98842,40
4,561.09087,269.96533,30
5,560.05982,282.00530,24
6,563.04631,287.01155,14
7,504.94629,258.91348,51
8,537.96000,244.84612,46
9,556.04627,236.98842,40
10,561.09087,269.96533,30
11,560.05982,282.00530,24
12,563.04631,287.01155,14
13,532.97207,255.92680,51
14,553.02424,253.98100,48
15,556.04627,236.98842,40
16,561.09087,269.96533,30
17,560.05982,282.00530,24
18,563.04631,287.01155,14
19,559.03181,253.97564,51
20,553.02424,253.98100,48
21,556.04627,236.98842,40
22,561.09087,269.96533,30
23,560.05982,282.00530,24
24,563.04631,287.01155,14
25,531.00639,265.99588,51
26,529.92261,272.89279,47
27,539.94191,284.99816,39
28,546.87948,304.97112,32
29,560.05982,282.00530,24
30,563.04631,287.01155,14
31,498.99213,275.95715,51
32,529.92261,272.89279,47
33,539.94191,284.99816,39
34,546.87948,304.97112,32
35,560.05982,282.00530,24
36,563.04631,287.01155,14
37,517.02460,279.97237,51
38,551.89822,272.84684,45
39,560.94969,274.93398,37
40,561.09087,269.96533,30
41,560.05982,282.00530,24
42,563.04631,287.01155,14
43,550.97243,267.91120,51
44,551.89822,272.84684,45
45,560.94969,274.93398,37
46,561.09087,269.96533,30
47,560.05982,282.00530,24
48,563.04631,287.01155,14
49,535.02477,283.95777,51
50,537.89981,293.88567,46
51,560.94969,274.93398,37
52,561.09087,269.96533,30
53,560.05982,282.00530,24
54,563.04631,287.01155,14
55,558.91401,275.86896,51
56,557.96687,281.88138,47
57,563.03818,284.95220,40
58,562.05360,299.98699,32
59,560.03196,307.95503,24
60,563.04631,287.01155,14
61,539.00711,292.02207,51
62,557.96687,281.88138,47
63,563.03818,284.95220,40
64,562.05360,299.98699,32
65,560.03196,307.95503,24
66,563.04631,287.01155,14
67,563.98320,290.95713,51
68,563.03000,301.98410,45
69,567.11447,309.01593,38
70,562.05360,299.98699,32
71,560.03196,307.95503,24
72,563.04631,287.01155,14
73,559.99315,315.94926,51
74,563.03000,301.98410,45
75,567.11447,309.01593,38
76,562.05360,299.98699,32
77,560.03196,307.95503,24
78,563.04631,287.01155,14
79,559.01184,328.96015,51
80,556.99391,334.97061,46
81,567.11447,309.01593,38
82,562.05360,299.98699,32
83,560.03196,307.95503,24
84,563.04631,287.01155,14
85,562.14553,345.01953,51
86,559.13823,350.04767,48
87,555.94926,344.95831,41
88,555.19034,329.97527,32
89,560.03196,307.95503,24
90,563.04631,287.01155,14
91,548.95673,365.96483,51
92,559.13823,350.04767,48
93,555.94926,344.95831,41
94,555.19034,329.97527,32
95,560.03196,307.95503,24
96,563.04631,287.01155,14
97,548.99237,303.96551,51
98,553.05257,316.00933,48
99,559.04856,316.01603,39
100,555.19034,329.97527,32
101,560.03196,307.95503,24
102,563.04631,287.01155,14
103,545.10226,330.01803,51
104,553.05257,316.00933,48
105,559.04856,316.01603,39
106,555.19034,329.97527,32
107,560.03196,307.95503,24
108,563.04631,287.01155,14
109,542.90972,354.90388,51
110,556.99391,334.97061,46
111,567.11447,309.01593,38
112,562.05360,299.98699,32
113,560.03196,307.95503,24
114,563.04631,287.01155,14
115,536.90862,305.89026,51
116,532.99042,322.97623,47
117,544.87403,320.98992,40
118,546.87948,304.97112,32
119,560.05982,282.00530,24
120,563.04631,287.01155,14
121,534.98755,331.96755,51
122,537.95716,341.96867,47
123,559.04856,316.01603,39
124,555.19034,329.97527,32
125,560.03196,307.95503,24
126,563.04631,287.01155,14
127,520.92555,304.97543,51
128,534.01611,312.02504,47
129,563.03818,284.95220,40
130,562.05360,299.98699,32
131,560.03196,307.95503,24
132,563.04631,287.01155,14
133,511.99194,300.97336,51
134,537.89981,293.88567,46
135,560.94969,274.93398,37
136,561.09087,269.96533,30
137,560.05982,282.00530,24
138,563.04631,287.01155,14
139,502.98897,303.98812,51
140,514.99847,315.02231,47
141,539.94191,284.99816,39
142,546.87948,304.97112,32
143,560.05982,282.00530,24
144,563.04631,287.01155,14
145,521.99704,331.97418,51
146,532.99042,322.97623,47
147,544.87403,320.98992,40
148,546.87948,304.97112,32
149,560.05982,282.00530,24
150,563.04631,287.01155,14
151,510.85273,331.94138,51
152,534.01611,312.02504,47
153,563.03818,284.95220,40
154,562.05360,299.98699,32
155,560.03196,307.95503,24
156,563.04631,287.01155,14
157,498.94314,335.00421,51
158,514.99847,315.02231,47
159,539.94191,284.99816,39
160,546.87948,304.97112,32
161,560.05982,282.00530,24
162,563.04631,287.01155,14
163,517.85500,351.89099,51
164,526.87623,350.98241,45
165,544.87403,320.98992,40
166,546.87948,304.97112,32
167,560.05982,282.00530,24
168,563.04631,287.01155,14
169,525.00444,360.96569,51
170,537.95716,341.96867,47
171,559.04856,316.01603,39
172,555.19034,329.97527,32
173,560.03196,307.95503,24
174,563.04631,287.01155,14
175,529.87318,378.86926,51
176,530.93350,378.93177,48
177,555.94926,344.95831,41
178,555.19034,329.97527,32
179,560.03196,307.95503,24
180,563.04631,287.01155,14
181,507.98078,377.00767,51
182,526.87623,350.98241,45
183,544.87403,320.98992,40
184,546.87948,304.97112,32
185,560.05982,282.00530,24
186,563.04631,287.01155,14
187,509.97336,399.97720,51
188,530.93350,378.93177,48
189,555.94926,344.95831,41
190,555.19034,329.97527,32
191,560.03196,307.95503,24
192,563.04631,287.01155,14
