 ,XM,YM,Slice
1,477.98532,467.12525,51
2,509.98415,461.07750,45
3,533.03925,442.09705,40
4,543.06145,428.00364,31
5,555.14067,406.04811,24
6,559.19943,391.00016,15
7,514.97555,460.95657,51
8,509.98415,461.07750,45
9,533.03925,442.09705,40
10,543.06145,428.00364,31
11,555.14067,406.04811,24
12,559.19943,391.00016,15
13,536.08485,446.06922,51
14,547.09638,438.07724,45
15,557.19179,419.07252,39
16,543.06145,428.00364,31
17,555.14067,406.04811,24
18,559.19943,391.00016,15
19,557.13774,418.01155,51
20,547.09638,438.07724,45
21,557.19179,419.07252,39
22,543.06145,428.00364,31
23,555.14067,406.04811,24
24,559.19943,391.00016,15
25,538.06138,433.05146,51
26,531.92396,438.90458,47
27,533.03925,442.09705,40
28,543.06145,428.00364,31
29,555.14067,406.04811,24
30,559.19943,391.00016,15
31,512.98934,446.96940,51
32,531.92396,438.90458,47
33,533.03925,442.09705,40
34,543.06145,428.00364,31
35,555.14067,406.04811,24
36,559.19943,391.00016,15
37,479.02396,455.95275,51
38,515.96280,441.97196,45
39,547.99528,410.00590,38
40,555.17782,399.02359,32
41,555.14067,406.04811,24
42,559.19943,391.00016,15
43,533.88007,421.85065,51
44,550.08800,415.05100,46
45,557.19179,419.07252,39
46,543.06145,428.00364,31
47,555.14067,406.04811,24
48,559.19943,391.00016,15
49,554.07687,398.92964,51
50,550.08800,415.05100,46
51,557.19179,419.07252,39
52,543.06145,428.00364,31
53,555.14067,406.04811,24
54,559.19943,391.00016,15
55,549.01853,390.95621,51
56,549.07494,404.00146,44
57,547.99528,410.00590,38
58,555.17782,399.02359,32
59,555.14067,406.04811,24
60,559.19943,391.00016,15
61,508.94825,436.93676,51
62,515.96280,441.97196,45
63,547.99528,410.00590,38
64,555.17782,399.02359,32
65,555.14067,406.04811,24
66,559.19943,391.00016,15
67,518.00037,418.03654,51
68,549.07494,404.00146,44
69,547.99528,410.00590,38
70,555.17782,399.02359,32
71,555.14067,406.04811,24
72,559.19943,391.00016,15
73,494.97658,428.00878,51
74,519.07600,416.02201,46
75,539.05271,398.01447,39
76,536.02126,414.03082,32
77,553.12635,387.04663,25
78,559.19943,391.00016,15
79,487.00344,437.00680,51
80,507.03556,428.01724,46
81,517.91903,431.98118,41
82,536.02126,414.03082,32
83,553.12635,387.04663,25
84,559.19943,391.00016,15
85,476.96932,439.01082,51
86,480.95738,450.96335,47
87,517.91903,431.98118,41
88,536.02126,414.03082,32
89,553.12635,387.04663,25
90,559.19943,391.00016,15
91,460.99289,452.98635,51
92,480.95738,450.96335,47
93,517.91903,431.98118,41
